hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,race21_t,race26_t,occ2012_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
177193559700698,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,68,1.0,1,39,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12052.7959,3054.0257,0,0,,,0,0,63057,2,1.0,,,,,,3062.8703,,,-1,4.0,,,,,,11072.0,2012,624,621,0,0,0,0,0,12.0,1.0,,,,,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,3,68,1.0,1,39,1,,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11519.6256,2957.6104,0,0,,,0,0,65908,2,1.0,,,,,,2942.9277,,,-1,4.0,,,,,,11154.0,2013,636,621,0,0,0,0,0,12.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193917609033771,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,38,,2,39,2,,1,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11211.9862,3124.1137,14,6,,,0,0,34737,1,1.0,,,,,,3056.6196,,,-1,,,,,3.0,,11075.0,2012,624,621,0,1,1,1,1,12.0,2.0,,,,,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,39,,2,39,2,,1,1,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10920.2342,2854.8336,10,5,,,0,0,52230,1,1.0,,,,,,2807.6703,,,-1,,,,,3.0,,11158.0,2013,636,621,0,0,1,1,0,12.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193917609033771,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,17,,1,36,2,,5,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,11217.7474,2908.0104,0,0,,,0,0,34737,5,,,,,,,2914.0435,,,-1,,,,,1.0,,11077.0,2012,624,621,0,0,0,0,0,10.0,2.0,,,,,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,4,18,,1,36,2,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,13728.5127,3434.8233,0,0,,,0,0,52230,5,,,,,,,3444.7247,,,-1,,,,,1.0,,11164.0,2013,636,621,0,0,0,0,0,10.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193917609033771,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,4,20,,2,39,2,,4,2,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,12362.6132,3029.8102,1,1,,,0,0,34737,4,1.0,,,,,,2998.9099,,,-1,,,,,1.0,,11078.0,2012,624,621,1,0,0,0,1,12.0,2.0,,,,,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,4,21,,2,39,2,,3,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,10410.9201,3250.7122,2,1,,,0,0,52230,4,1.0,,,,,,3352.8529,,,-1,,,,,1.0,,11165.0,2013,636,621,0,1,0,0,1,12.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193917609033771,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,6,56,,2,39,2,,3,1,4,6,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10673.8157,2886.1632,0,0,,,0,0,34737,3,1.0,,,,,,2909.9031,,,-1,,,,,,,11079.0,2012,624,621,0,0,0,0,0,12.0,2.0,,,,,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,6,58,,2,39,2,,1,4,6,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9484.8478,2464.5995,0,0,,,0,0,52230,3,1.0,,,,,,2438.6222,,,-1,,,,,,,11168.0,2013,636,621,0,0,0,0,0,12.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193917609033771,1,1.0,4,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,14,34,,1,39,2,,2,0,0,7,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14861.8121,3003.5115,8,3,,,0,0,34737,2,1.0,,,,,,3392.98,,,-1,,,,,,,11080.0,2012,624,621,0,1,1,0,1,12.0,2.0,,,,,2012,1.0,4,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,14,34,,1,39,2,,0,0,7,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,10806.4652,2587.3575,3,3,,,0,0,52230,2,1.0,,,,,,2591.1199,,,-1,,,,,,,11169.0,2013,636,621,0,0,1,0,0,12.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
193977404073728,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,38,4.0,1,39,1,4.0,1,1,1,1,2,313,313,313,5,0,12,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,576.92,1.0,,,,,14714.9275,3612.1516,8,2,0.0,,0,0,8671,1,1.0,,,,,,3597.9885,8660.0,4020.0,-1,,,,,,,11086.0,2012,624,621,0,1,1,0,1,12.0,1.0,,,13.0,45.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,39,4.0,1,39,1,4.0,1,1,1,2,313,313,313,5,0,12,1.0,1.0,,40.0,,40.0,,,,,,2.0,7.0,0.0,2,,,,,,,,2.0,,,11392.6668,2715.4522,8,2,,,0,0,23099,1,1.0,,,,,,2722.1027,6380.0,5510.0,-1,,,,,,,11170.0,2013,636,621,0,1,1,0,1,12.0,17.0,23.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
193977404073728,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,36,1.0,2,39,1,4.0,4,1,2,1,2,313,313,313,5,0,12,2.0,1.0,,24.0,,24.0,,,17.0,,,7.0,4.0,0.0,1,2.0,2.0,2.0,,288.46,2.0,2.0,,,,10960.4976,2747.9642,8,2,0.0,,0,0,8671,4,1.0,,,,,,2717.514,9290.0,4600.0,-1,,,,,,,11087.0,2012,624,621,0,1,1,0,1,12.0,1.0,,,15.0,50.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,3,38,1.0,2,39,1,4.0,1,2,1,2,313,313,313,5,0,12,2.0,1.0,,20.0,,20.0,,,17.0,,,7.0,4.0,0.0,1,2.0,,1.0,1200.0,240.0,2.0,2.0,2.0,,,10823.6412,2729.8393,8,2,1.0,1.0,0,0,23099,4,1.0,,,,,,2775.6584,2980.0,5610.0,-1,,,,,,,11171.0,2013,636,621,0,1,1,0,1,12.0,17.0,6.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
267679770099105,1,1.0,6,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,30,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,38.0,2.0,11.0,4.0,0.0,2,,,,,,,,,,,12488.4078,2897.2635,0,0,,,0,0,21641,1,,,,2.0,,,2864.7769,5370.0,50.0,-1,,,,,,,11113.0,2012,624,621,0,0,0,0,0,16.0,1.0,,,1.0,22.0,2012,1.0,6,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,2,31,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,769.23,2.0,2.0,2.0,,,10828.4573,2695.9491,0,0,0.0,,0,0,9639,1,,,,2.0,,,2698.7576,5270.0,4760.0,-1,,,,,,,11192.0,2013,636,621,0,0,0,0,0,16.0,16.0,22.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,1,recruitment
271381037900399,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,49,2.0,2,40,1,2.0,1,1,1,1,2,73,73,73,2,0,17,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12199.9755,3186.0676,0,0,,,0,0,4609,1,,,2.0,,,,3101.9279,,,-1,,,,,,,11116.0,2012,624,621,0,0,0,0,0,13.0,1.0,,,,,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,1.0,1.0,1.0,7,1,50,2.0,2,40,1,2.0,1,1,1,2,73,73,73,2,0,17,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,11465.0438,2922.3094,0,0,,,0,0,23095,1,,,2.0,,,,2861.6723,,,-1,,,,,,,11197.0,2013,636,621,0,0,0,0,0,13.0,,,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,0,0,recruitment
