hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
80971090513339,1,2.0,1,4,2,8500,85001,1,1,33,17,40420,0,1.0,1.0,,3,3,69,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11709.5325,2867.9448,0.0,0.0,,,0,0,20860,2,1.0,,,,,,2901.7599,,,-1,,,,,,,10854.0,2009,588,585,0.0,0.0,0.0,0.0,0.0,12.0,,,2009,2.0,1,8,2,8500,85001,1,33,17,40420,0,1.0,1.0,,3,3,70,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13929.6731,3464.7417,0,0,,,0,0,21710,2,1.0,,,,,,3492.2927,,,-1,,,,,,,11091.0,2010,600,585,0,0,0,0,0,12.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
86071370920894,1,1.0,4,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,24,,2,36,1,2.0,1,1,1,7,2,73,73,73,2,0,16,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,18352.6947,4083.1389,11.0,4.0,,,0,0,68114,1,,,,,,,4469.6301,,,-1,,,,,,,10856.0,2009,588,585,1.0,1.0,1.0,0.0,1.0,10.0,,,2009,1.0,4,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,1,25,,2,37,1,2.0,1,1,7,2,73,73,73,2,0,16,1.0,7.0,,,,,,8.0,,,,1.0,,,2,,,,,,,,,,,12961.9604,3373.2771,11,4,,,0,0,44289,1,,,,,,,3328.4605,,,-1,,,,,,,11092.0,2010,600,585,1,1,1,0,1,11.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
86071370920894,1,1.0,4,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,14,39,,1,36,1,2.0,2,0,0,7,2,57,73,73,1,0,0,2.0,4.0,,,,,,,,52.0,3.0,11.0,7.0,0.0,2,,,,,,,,,,,15214.7112,3695.1948,,,,,0,0,68114,2,,,,,,,3820.9543,770.0,220.0,-1,,,,,,,10857.0,2009,588,585,,,,,,10.0,1.0,4.0,2009,1.0,4,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,14,40,,1,36,1,2.0,0,0,7,2,57,73,73,1,0,0,2.0,4.0,,,,,,,,2.0,2.0,11.0,4.0,0.0,2,,,,,,,,,,,11244.8117,3006.8515,11,4,,,0,0,44289,2,,,,,,,2909.1985,3170.0,8030.0,-1,,,,,,,11093.0,2010,600,585,1,1,1,0,1,10.0,21.0,7.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
92311370998393,1,1.0,3,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,40,,1,42,1,1.0,1,1,1,7,2,303,303,303,4,0,5,1.0,1.0,,-4.0,,45.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1442.3,2.0,2.0,,,,14965.6418,3713.079,3.0,1.0,0.0,,0,0,7757,1,,,4.0,,,,3715.8519,7790.0,140.0,-1,,,,,,,10862.0,2009,588,585,0.0,0.0,1.0,0.0,0.0,15.0,1.0,39.0,2009,2.0,3,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,1,41,,1,42,1,1.0,1,1,7,2,303,303,303,4,0,5,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1000.0,2.0,2.0,,,,12363.9719,3006.8515,3,1,1.0,,0,0,33907,1,,,4.0,,,,3065.4387,7790.0,140.0,-1,,,,,,,11098.0,2010,600,585,0,0,1,0,0,15.0,1.0,39.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
92311370998393,1,1.0,3,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,14,43,,2,39,1,1.0,2,0,0,5,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13559.6892,3515.1523,,,,,0,0,7757,2,1.0,,,,,,3446.8689,,,-1,,,,,,,10863.0,2009,588,585,,,,,,12.0,,,2009,2.0,3,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,14,44,,2,39,1,1.0,0,0,5,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13183.1137,3248.4463,3,1,,,0,0,33907,2,1.0,,,,,,3385.2497,,,-1,,,,,,,11099.0,2010,600,585,0,0,1,0,0,12.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
103053503043741,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,2,52,,1,43,1,,1,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,50.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,11979.4081,2994.7592,,,,,0,0,32096,1,,,,2.0,,,2983.4069,7680.0,3730.0,-1,,,,,,,10871.0,2009,588,585,,,,,,16.0,12.0,38.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,2,53,,1,39,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,55.0,,45.0,,,,,,2.0,6.0,0.0,2,,,,,,,,,,,14565.7032,3509.8195,0,0,,,0,0,21382,1,1.0,,,,,,3478.0563,7680.0,3910.0,-1,,,,,,,11106.0,2010,600,585,0,0,0,0,0,12.0,12.0,38.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
193873404073726,1,1.0,7,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,80,,2,44,2,,1,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12624.0324,3118.8382,,,,,0,0,4583,1,,,,,,2.0,3165.8452,,,-1,,,,,,,10877.0,2009,588,585,,,,,,18.0,,,2009,1.0,7,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,2,80,,2,44,2,,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11712.5914,2808.4579,0,0,,,0,0,44286,1,,,,,,2.0,2832.4678,,,-1,,,,,,,11109.0,2010,600,585,0,0,0,0,0,18.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
197933805088786,1,1.0,6,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,42,,1,41,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,923.07,2.0,2.0,,,,12051.3484,3029.2703,,,0.0,,0,0,49953,1,,,5.0,,,,2992.2556,4970.0,4700.0,-1,,,,,,,10895.0,2009,588,585,,,,,,16.0,16.0,22.0,2009,1.0,6,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,2,43,,1,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,1.0,2.0,2.0,,600.0,2.0,2.0,,,,11434.6206,2856.1787,0,0,0.0,,0,0,21405,1,,,,2.0,,,2835.0217,4670.0,4700.0,-1,,,,,,,11118.0,2010,600,585,0,0,0,0,0,16.0,16.0,22.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
257458330339104,1,1.0,7,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,,7,2,80,,2,36,1,,1,0,0,4,2,110,110,110,4,0,2,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11297.2679,2766.9714,,,,,0,0,7741,1,,,,,,,2799.5958,,,-1,,,,,,,10910.0,2009,588,585,,,,,,10.0,,,2009,1.0,7,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,,7,2,80,,2,39,1,,0,0,4,2,110,110,110,4,0,3,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13547.1004,3369.584,0,0,,,0,0,8540,1,1.0,,,,,,3396.3784,,,-1,,,,,,,11134.0,2010,600,585,0,0,0,0,0,12.0,,,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,0,recruitment
271381033808399,1,1.0,4,4,2,8500,85001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,44,,2,39,2,,1,1,1,7,2,57,57,57,1,0,0,1.0,2.0,5.0,40.0,,,,,,,,5.0,4.0,0.0,1,1.0,1.0,1.0,2163.0,884.61,1.0,,,,,12514.9298,3255.4526,3.0,1.0,0.0,0.0,0,0,17366,1,1.0,,,,,,3262.2991,1270.0,8960.0,-1,,,,,,,10913.0,2009,588,585,0.0,0.0,1.0,0.0,0.0,12.0,21.0,14.0,2009,1.0,4,8,2,8500,85001,1,33,17,16980,0,1.0,1.0,1.0,7,1,45,,2,39,2,,1,1,7,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,11970.9545,2950.709,3,1,,,0,0,21393,1,1.0,,,,,,2975.935,1270.0,8960.0,-1,,,,,,,11135.0,2010,600,585,0,0,1,0,0,12.0,21.0,14.0,2010,MIS4_to_MIS8,illinois,1,2009-2010,0,0,1,recruitment
