hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
34371770972784,1,1.0,6,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,47,,1,39,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14293.1786,3566.388,,,,,0,0,21978,1,1.0,,,,,,3554.0097,,,-1,,,,,,,10943.0,2008,576,573,,,,,,12.0,,,2008,1.0,6,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,2,48,,1,39,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1000.0,400.0,2.0,2.0,,,,13018.7097,3145.3905,,,0.0,0.0,0,0,7801,1,1.0,,,,,,3133.3645,8190.0,3600.0,-1,,,,,,,10839.0,2009,588,573,,,,,,12.0,11.0,41.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
79051770926697,1,1.0,7,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,24,,2,44,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,13932.4575,3908.9026,,,,,0,0,58171,1,,,,,,2.0,3833.3177,,,-1,,,,,,,10955.0,2008,576,573,,,,,,18.0,,,2008,1.0,7,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,2,25,,2,44,1,,0,0,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,1.0,0.0,2,,,,,,,,,,,15294.1271,3902.8675,,,,,0,0,53909,1,,,,,,2.0,3887.7625,7870.0,2200.0,-1,,,,,,,10851.0,2009,588,573,,,,,,18.0,8.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
79051770926697,1,1.0,7,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,16,24,,2,44,1,,2,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1000.0,2.0,2.0,2.0,,,16597.7712,3908.9026,,,0.0,,0,0,58171,2,,,,,,2.0,3951.1598,8190.0,3150.0,-1,,,,,,,10956.0,2008,576,573,,,,,,18.0,10.0,41.0,2008,1.0,7,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,16,25,,2,44,1,,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,5.0,0.0,1,2.0,1.0,1.0,1470.0,961.53,2.0,2.0,,,,15861.6093,3902.8675,,,0.0,1.0,0,0,53909,2,,,,,,2.0,3890.4318,8190.0,3150.0,-1,,,,,,,10852.0,2009,588,573,,,,,,18.0,10.0,41.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,1,recruitment
92311770998383,1,1.0,7,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,71,,2,43,2,,1,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11295.8536,2904.2926,,,,,0,0,21980,1,,,,2.0,,,2895.7356,,,-1,,,,,,,10966.0,2008,576,573,,,,,,16.0,,,2008,1.0,7,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,2,72,,2,43,2,,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12624.0324,3118.8382,,,,,0,0,42197,1,,,,2.0,,,3165.8452,,,-1,,,,,,,10865.0,2009,588,573,,,,,,16.0,,,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
177193558700598,1,1.0,7,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,55,,2,40,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11478.3929,2902.3964,,,,,0,0,21976,1,,,1.0,,,,2893.845,,,-1,,,,,,,10976.0,2008,576,573,,,,,,12.0,,,2008,1.0,4,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,1,56,,2,41,2,,1,1,7,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13491.7669,3149.6368,4.0,1.0,,,0,0,57526,1,,,1.0,,,,3197.108,,,-1,,,,,,,10873.0,2009,588,573,0.0,0.0,0.0,1.0,0.0,12.0,,,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
177193559700698,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,62,2.0,2,39,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1050.0,230.0,2.0,2.0,,,,10856.5598,2692.9385,0.0,0.0,1.0,1.0,0,0,21990,1,1.0,,,,,,2730.3006,2370.0,5400.0,-1,,,,,,,10977.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,12.0,17.0,20.0,2008,1.0,1,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,1,63,2.0,2,39,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1260.0,504.0,2.0,2.0,,,,11501.199,2929.5457,0.0,0.0,1.0,1.0,0,42,32179,1,1.0,,,,,,2899.3725,7780.0,5860.0,-1,,,,,,,10875.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,12.0,17.0,38.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,1,recruitment
177193559700698,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,68,1.0,1,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,9984.3619,2542.3903,0.0,0.0,,,0,0,21990,2,1.0,,,,,,2491.1331,,,-1,,,,,,,10978.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,12.0,,,2008,1.0,1,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,3,69,1.0,1,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,10251.559,2518.2682,0.0,0.0,,,0,0,32179,2,1.0,,,,,,2553.3142,,,-1,,,,,,,10876.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,12.0,,,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
193997001096705,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,35,2.0,1,44,1,,1,1,1,1,2,57,154,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,2115.38,2.0,2.0,,,,14881.8239,3770.074,1.0,1.0,0.0,,0,0,21989,1,,,,,,2.0,3795.9702,9170.0,120.0,-1,,,,,,,10984.0,2008,576,573,1.0,0.0,0.0,0.0,1.0,18.0,1.0,49.0,2008,1.0,1,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,1,36,2.0,1,44,1,,1,1,1,2,57,154,57,1,0,0,1.0,1.0,,50.0,,40.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,2692.3,2.0,2.0,,,,11950.0257,2996.8797,1.0,2.0,0.0,,0,0,61690,1,,,,,,2.0,2967.098,9170.0,120.0,-1,,,,,,,10881.0,2009,588,573,1.0,0.0,0.0,0.0,1.0,18.0,1.0,49.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,1,recruitment
193997001096705,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,32,1.0,2,45,1,,2,1,2,1,2,449,449,449,4,0,6,2.0,1.0,,55.0,,55.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2550.0,2.0,2.0,,,,13709.0758,3386.9493,1.0,1.0,0.0,,0,0,21989,2,,,,,,,3409.4639,8190.0,3060.0,-1,,,,,,,10985.0,2008,576,573,1.0,0.0,0.0,0.0,1.0,18.0,10.0,41.0,2008,1.0,1,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,3,33,1.0,2,45,1,,1,2,1,2,449,449,449,4,0,6,2.0,1.0,,50.0,,50.0,,,,,,2.0,5.0,0.0,1,2.0,2.0,2.0,,923.07,2.0,2.0,,,,14699.0847,3626.9268,1.0,2.0,0.0,,0,0,61690,2,,,,,,,3605.2953,8190.0,3060.0,-1,,,,,,,10882.0,2009,588,573,1.0,0.0,0.0,0.0,1.0,18.0,10.0,41.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,1,recruitment
195837105097785,1,2.0,4,4,2,8300,83001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,34,,2,37,2,,1,1,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,8.0,,,,1.0,,,2,,,,,,,,,,,14034.4086,3703.1865,0.0,0.0,,,0,0,58170,1,,,,,,,3538.2482,,,-1,,,,,,,10987.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,11.0,,,2008,2.0,4,8,2,8300,83001,1,33,17,16980,0,1.0,1.0,1.0,7,1,35,,2,37,2,,1,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14445.2817,3401.5427,0.0,0.0,,,0,0,57527,1,,,,,,,3423.0598,,,-1,,,,,,,10885.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,11.0,,,2009,MIS4_to_MIS8,illinois,1,2008-2009,0,0,0,recruitment
