pair,pair_code,term,coef,coef_pct_points,std_err,std_err_pct_points,p_value,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var,file
2008-2009,0809,illinois,-0.001641192182704681,-0.1641192182704681,0.005278388197774499,0.52783881977745,0.7558562944315418,-1.1986642946763983,0.8704258581354621,3655,0.19920686927915954,earnwt_t,analytic_sample_0809_recruitment.csv
2009-2010,0910,illinois,-0.0008435695042335221,-0.08435695042335221,0.005852883230343381,0.5852883230343381,0.8853986999376242,-1.2315009841425,1.0627870832957955,3649,0.15431109587634162,earnwt_t,analytic_sample_0910_recruitment.csv
2010-2011,1011,illinois,-0.005873681725478774,-0.5873681725478774,0.00540589203654567,0.540589203654567,0.27724311555727343,-1.6469035421420173,0.4721671970462625,3546,0.14822316563084337,earnwt_t,analytic_sample_1011_recruitment.csv
2011-2012,1112,illinois,-0.00639970231257826,-0.639970231257826,0.005871158583106749,0.5871158583106749,0.27570268101446005,-1.7906961682990705,0.5107557057834182,3505,0.1736788501618447,earnwt_t,analytic_sample_1112_recruitment.csv
2012-2013,1213,illinois,0.005129498239989043,0.5129498239989043,0.006179821268478682,0.6179821268478682,0.40651622388627406,-0.6982728877123806,1.7241725357101894,3588,0.15666789844548956,earnwt_t,analytic_sample_1213_recruitment.csv
2013-2014,1314,illinois,-0.007693709672071257,-0.7693709672071257,0.005651930367147367,0.5651930367147366,0.17343361036554927,-1.8771289634808341,0.33838702906658263,3331,0.14762294465621906,earnwt_t,analytic_sample_1314_recruitment.csv
2014-2015,1415,illinois,0.00042837322068209425,0.04283732206820942,0.0064944578025869695,0.6494457802586969,0.9474098205102175,-1.2300530171503505,1.3157276612867692,2900,0.19343006996901857,earnwt_t,analytic_sample_1415_recruitment.csv
2015-2016,1516,illinois,-0.020152532432836157,-2.015253243283616,0.006383167095879114,0.6383167095879114,0.001593265212889889,-3.2663310048060348,-0.7641754817611963,3263,0.1977723516247888,earnwt_t,analytic_sample_1516_recruitment.csv
2016-2017,1617,illinois,-0.004483587910447801,-0.4483587910447801,0.006230152539850844,0.6230152539850844,0.471734722460178,-1.6694462506746202,0.7727286685850596,3236,0.16498339717265598,earnwt_t,analytic_sample_1617_recruitment.csv
