hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ00_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state_t,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,moved_to_nlf_unemp,switched_class94,same_state_t1,analytic_sample
710709877669510,1,2.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,3,56,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1711.53,1.0,,,,,10341.0124,2509.1089,0.0,0.0,0.0,,0,0,21971,2,,,,,,2.0,2523.2869,7860.0,2310.0,-1,,,,,,,11606.0,2008,576,573,0.0,0.0,0.0,0.0,0.0,18.0,8.0,40.0,2008,1.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,3,57,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,4.0,30.0,,,4.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,1846.15,1.0,,,,,10427.7875,2638.6596,0.0,0.0,0.0,,0,0,7792,2,,,,,,3.0,2621.8903,7860.0,2310.0,-1,,,,,,,11548.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,18.0,8.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
710709906593381,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,1,41,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1730.76,1.0,,,,,13931.9324,3515.4655,5.0,3.0,0.0,,0,0,4905,1,,,,1.0,2.0,,3553.6773,7870.0,1010.0,-1,,,,,,,11607.0,2008,576,573,1.0,1.0,0.0,0.0,1.0,17.0,3.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,1,42,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,13.0,32.0,,,13.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,1292.3,1.0,,,,,11358.7789,2855.1836,11.0,3.0,0.0,,0,0,20723,1,,,,2.0,,,2820.296,7870.0,1010.0,1000,,,,,,,11549.0,2009,588,573,1.0,1.0,1.0,0.0,1.0,16.0,3.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,1,1,retention
710709984815680,1,1.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,1,42,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1923.07,2.0,2.0,,,,13931.9324,3515.4655,3.0,2.0,0.0,,0,0,51362,1,,,,1.0,2.0,,3553.6773,9470.0,3740.0,-1,,,,,,,11615.0,2008,576,573,0.0,0.0,1.0,0.0,0.0,17.0,12.0,51.0,2008,1.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,1,43,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2019.23,2.0,2.0,,,,11358.7789,2855.1836,3.0,2.0,0.0,,0,0,61703,1,,,,1.0,1.0,,2820.296,9470.0,3720.0,-1,,,,,,,11557.0,2009,588,573,0.0,0.0,1.0,0.0,0.0,18.0,12.0,51.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
710709989628182,1,2.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,3,48,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,38.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,1288.0,447.69,2.0,2.0,,,,11095.7535,2751.6621,3.0,1.0,0.0,0.0,0,0,8314,2,,,1.0,,,,2773.9765,7860.0,2540.0,-1,,,,,,,11622.0,2008,576,573,0.0,0.0,1.0,0.0,0.0,12.0,8.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,3,49,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,37.0,10.0,22.0,,,10.0,,,4.0,3.0,0.0,1,2.0,,1.0,1640.0,606.8,2.0,2.0,,,,11417.4782,2809.1623,4.0,1.0,0.0,0.0,0,0,7965,2,,,1.0,,,,2809.8102,7860.0,2540.0,-1,,,,,,,11564.0,2009,588,573,0.0,0.0,0.0,1.0,0.0,12.0,8.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
710709989628182,1,2.0,1,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,4,23,,2,42,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,30.0,,30.0,,,20.0,,,7.0,3.0,0.0,1,2.0,,1.0,900.0,270.0,2.0,2.0,1.0,1.0,2.0,15362.4552,3617.9762,,,0.0,0.0,0,0,8314,3,,,4.0,,,,3657.0883,7860.0,2540.0,-1,,,,,2.0,1.0,11623.0,2008,576,573,,,,,,15.0,8.0,40.0,2008,2.0,1,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,4,24,,2,43,1,,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,37.0,10.0,22.0,,,10.0,,,4.0,3.0,0.0,1,2.0,,1.0,1400.0,518.0,2.0,2.0,1.0,2.0,2.0,16163.6836,4083.4866,,,0.0,0.0,0,0,7965,3,,,,2.0,,,4080.8273,7860.0,2540.0,-1,,,,,2.0,1.0,11565.0,2009,588,573,,,,,,16.0,8.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
779440826390971,1,1.0,6,4,2,8300,83001,1,1,33,17,16980,0,2.0,1.0,,7,2,45,,1,40,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,45.0,,45.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,2800.0,1260.0,1.0,,,,,10622.2851,2622.9635,,,1.0,1.0,0,0,8312,1,,,3.0,,,,2666.0194,6180.0,7210.0,-1,,,,,,,11658.0,2008,576,573,,,,,,14.0,20.0,23.0,2008,1.0,6,8,2,8300,83001,1,17,16980,0,2.0,1.0,,7,2,46,,1,40,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,2400.0,960.0,1.0,,,,,11526.8896,2936.0106,,,1.0,1.0,0,42,53973,1,,,2.0,,,,2931.3323,9390.0,7210.0,-1,,,,,,,11604.0,2009,588,573,,,,,,13.0,20.0,51.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
969057969179580,1,1.0,4,4,2,8300,83001,1,1,33,17,40420,0,2.0,1.0,,3,1,36,,2,40,1,,1,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,47.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1240.0,496.0,2.0,2.0,,,,13232.637,3267.9728,4.0,1.0,0.0,0.0,0,0,31899,1,,,3.0,,,,3292.7672,9370.0,5860.0,5860,,,,,,,11761.0,2008,576,573,0.0,0.0,0.0,1.0,0.0,14.0,17.0,51.0,2008,1.0,4,8,2,8300,83001,1,17,40420,0,2.0,1.0,,3,1,37,,2,40,1,,1,1,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1400.0,560.0,2.0,2.0,,,,13047.3174,3295.585,4.0,1.0,0.0,0.0,0,0,20469,1,,,3.0,,,,3284.8702,9370.0,5860.0,-1,,,,,,,11734.0,2009,588,573,0.0,0.0,0.0,1.0,0.0,14.0,17.0,51.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
109057605084751,1,1.0,1,4,2,8300,83001,1,1,33,17,0,99,3.0,2.0,,0,3,36,1.0,1,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,1.0,1.0,1.0,2800.0,846.15,1.0,,,,,13629.9007,3452.9191,3.0,2.0,0.0,1.0,0,0,4913,2,,,,2.0,,,3476.6368,770.0,6200.0,-1,,,,,,,11820.0,2008,576,573,0.0,0.0,1.0,0.0,0.0,16.0,19.0,4.0,2008,1.0,1,8,2,8300,83001,1,17,0,99,3.0,2.0,,0,3,37,1.0,1,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1100.0,440.0,1.0,,,,,11337.8769,2843.3623,3.0,2.0,1.0,1.0,0,42,4609,2,,,,2.0,,,2815.1062,770.0,1550.0,-1,,,,,,,11788.0,2009,588,573,0.0,0.0,1.0,0.0,0.0,16.0,4.0,4.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
710700069555814,1,2.0,1,4,2,8300,83001,1,1,33,17,0,99,3.0,2.0,,0,1,47,2.0,2,43,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,830.0,1.0,,,,,10979.4977,2722.8315,4.0,1.0,1.0,,0,42,8257,1,,,,1.0,1.0,,2744.9122,7860.0,2310.0,-1,,,,,,,11851.0,2008,576,573,0.0,0.0,0.0,1.0,0.0,18.0,8.0,40.0,2008,1.0,1,8,2,8300,83001,1,17,0,99,3.0,2.0,,0,1,48,2.0,2,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,10.0,8.0,,,10.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,769.23,1.0,,,,,11493.0974,2827.7677,0.0,0.0,0.0,,0,0,42268,1,,,,1.0,1.0,,2828.4199,7860.0,2310.0,-1,,,,,,,11815.0,2009,588,573,0.0,0.0,0.0,0.0,0.0,18.0,8.0,40.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
450973093717349,1,2.0,3,4,2,8300,83001,1,1,33,17,44100,0,,1.0,,2,4,19,,1,39,1,,2,1,3,7,2,57,57,57,1,0,0,1.0,3.0,,,,,9.0,,,9.0,1.0,11.0,3.0,0.0,2,,,,,,,,2.0,,,21978.3535,3569.4882,,,,,0,0,4936,2,1.0,,,,,,3689.5164,8570.0,4250.0,-1,,,,,,1.0,11984.0,2008,576,573,,,,,,12.0,14.0,44.0,2008,1.0,3,8,2,8300,83001,1,17,44100,0,,1.0,,2,4,20,,1,39,1,,1,3,7,2,57,57,57,1,0,0,2.0,3.0,,,,,10.0,,,10.0,1.0,11.0,3.0,0.0,2,,,,,,,,2.0,,,14066.8076,3191.445,,,,,0,0,4631,2,1.0,,,,,,3318.0142,8570.0,4250.0,-1,,,,,,1.0,11942.0,2009,588,573,,,,,,12.0,14.0,44.0,2009,MIS4_to_MIS8,illinois,1,2008-2009,1,0,0,0,0,0,1,retention
