hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,race21_t,race26_t,occ2012_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
371001067001407,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,3,45,1.0,2,39,1,1.0,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,44.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1800.0,720.0,1.0,,,,,12295.7237,3016.2528,0,0,0.0,0.0,0,0,4625,2,1.0,,,,,,3031.0663,7860.0,5700.0,-1,,,,,,,11649.0,2012,624,621,0,0,0,0,0,12.0,1.0,,,17.0,40.0,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,3,47,1.0,2,39,1,1.0,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1900.0,760.0,1.0,,2.0,,,10914.7383,2742.5716,0,0,0.0,0.0,0,0,52283,2,1.0,,,,,,2745.3627,7860.0,5700.0,-1,,,,,,,11743.0,2013,636,621,0,0,0,0,0,12.0,17.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,1,0,1,retention
371544057803393,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,4,21,,2,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,20.0,,20.0,,,20.0,,,7.0,2.0,0.0,1,2.0,,1.0,800.0,160.0,2.0,2.0,1.0,1.0,2.0,13116.3802,3210.3078,0,0,1.0,1.0,0,0,51741,3,,,4.0,,,,3225.777,7870.0,1965.0,-1,,,,,1.0,1.0,11655.0,2012,624,621,0,0,0,0,0,15.0,1.0,,,5.0,40.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,4,22,,2,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,4.0,,,,,,,,1.0,5.0,11.0,2.0,0.0,2,,,,,,,,2.0,,,11866.9167,2978.2344,0,0,,,0,0,5552,3,,,5.0,,,,2902.9158,7870.0,2200.0,-1,,,,,1.0,1.0,11750.0,2013,636,621,0,0,0,0,0,16.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
471727047706393,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,1,32,2.0,1,42,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,1346.15,1.0,,,,,10975.1876,2742.8417,11,4,0.0,,0,0,21625,1,,,3.0,,,,2754.579,9470.0,3850.0,-1,,,,,,,11685.0,2012,624,621,1,1,1,0,1,14.0,1.0,,,12.0,51.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,1,33,2.0,1,41,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1346.15,1.0,,2.0,,,10342.5584,2574.9754,11,4,0.0,,0,0,45485,1,,,3.0,,,,2577.6579,9470.0,3850.0,-1,,,,,,,11776.0,2013,636,621,1,1,1,0,1,14.0,12.0,51.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
710700067003114,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,1,44,2.0,1,44,2,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2638.88,2.0,2.0,,,,13729.0645,3261.7335,3,2,0.0,,0,0,18217,1,,,,,,3.0,3273.6699,7860.0,230.0,-1,,,,,,,11766.0,2012,624,621,0,0,1,0,0,18.0,2.0,,,1.0,40.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,1,45,2.0,1,44,2,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,43.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1818.18,2.0,2.0,2.0,,,13326.2631,3406.7394,3,2,0.0,,0,0,19737,1,,,,,,3.0,3384.1899,7860.0,230.0,-1,,,,,,,11858.0,2013,636,621,0,0,1,0,0,18.0,1.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
710709906593381,1,2.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,3,45,1.0,2,42,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,-4.0,,10.0,,,15.0,,,6.0,3.0,0.0,1,2.0,,1.0,1131.0,79.17,2.0,2.0,,,,11889.7902,2892.21,3,2,0.0,0.0,0,0,21746,2,,,3.0,,,,2930.9981,7860.0,2310.0,4200,,,,,,,11780.0,2012,624,621,0,0,1,0,0,14.0,1.0,,,8.0,40.0,2012,2.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,3,46,1.0,2,42,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,30.0,1.0,29.0,,,1.0,,,3.0,3.0,0.0,1,2.0,,1.0,1212.0,363.6,1.0,,2.0,,,12225.0179,3041.9353,3,2,0.0,0.0,0,0,5560,2,,,3.0,,,,3074.9347,7860.0,2540.0,4220,,,,,,,11872.0,2013,636,621,0,0,1,0,0,14.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
771005017001105,1,1.0,1,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,3,27,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1057.69,1.0,,,,,10525.454,2636.7093,3,1,0.0,,0,0,21763,2,,,,2.0,,,2638.5622,7860.0,2310.0,-1,,,,,,,11819.0,2012,624,621,0,0,1,0,0,16.0,1.0,,,8.0,40.0,2012,1.0,1,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,3,28,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,826.0,1.0,,2.0,,,11740.7773,2874.0575,3,1,1.0,,0,42,9754,2,,,,2.0,,,2913.0435,7860.0,2310.0,-1,,,,,,,11907.0,2013,636,621,0,0,1,0,0,16.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,0,1,0,1,retention
951017994179500,1,2.0,1,4,2,8900,89001,1,1,33,17,41180,0,2.0,1.0,,6,1,37,2.0,1,44,1,,1,1,1,1,2,57,120,57,1,0,0,2.0,1.0,,40.0,5.0,8.0,,,5.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,576.92,1.0,,,,,11914.5504,2894.7533,3,1,0.0,,0,0,32567,1,,,,,,2.0,2913.2604,7860.0,2310.0,-1,,,,,,,11904.0,2012,624,621,0,0,1,0,0,18.0,1.0,,,8.0,40.0,2012,2.0,1,8,2,8900,89001,1,33,17,41180,0,2.0,1.0,,6,1,38,2.0,1,44,1,,1,1,1,2,57,120,57,1,0,0,2.0,2.0,5.0,40.0,,,,,,,,5.0,3.0,0.0,1,2.0,2.0,2.0,,1125.0,1.0,,2.0,,,9676.0443,2385.2542,6,2,1.0,,0,0,23279,1,,,,,,2.0,2393.3525,7860.0,2320.0,-1,,,,,,,12004.0,2013,636,621,1,0,1,0,1,18.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
979057970179950,1,1.0,7,4,2,8900,89001,1,1,33,17,16980,0,2.0,1.0,,7,2,26,,2,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,38.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1800.0,684.0,1.0,,,,,10525.454,2636.7093,0,0,0.0,0.0,0,0,8727,1,,,,2.0,,,2638.5622,9480.0,3540.0,-1,,,,,,,11958.0,2012,624,621,0,0,0,0,0,16.0,1.0,,,10.0,51.0,2012,1.0,7,8,2,8900,89001,1,33,17,16980,0,2.0,1.0,,7,2,27,,2,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,38.0,,38.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1900.0,722.0,1.0,,2.0,,,11740.7773,2874.0575,0,0,0.0,0.0,0,0,35904,1,,,,1.0,2.0,,2913.0435,9480.0,3540.0,-1,,,,,,,12060.0,2013,636,621,0,0,0,0,0,17.0,10.0,51.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
100970091717919,1,1.0,1,4,2,8900,89001,1,1,33,17,0,0,3.0,2.0,,0,1,41,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,692.3,1.0,,,,,10975.5153,2676.5634,0,0,0.0,,0,0,21847,1,,,,1.0,1.0,,2683.6543,7860.0,2320.0,-1,,,,,,,12001.0,2012,624,621,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,2.0,1,8,2,8900,89001,1,33,17,0,0,3.0,2.0,,0,1,42,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1125.0,1.0,,2.0,,,9837.1988,2422.9874,1,1,0.0,,0,0,52301,1,,,,,,3.0,2433.2138,7860.0,2320.0,-1,,,,,,,12102.0,2013,636,621,1,0,0,0,1,18.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
100970091717919,1,1.0,1,4,2,8900,89001,1,1,33,17,0,0,3.0,2.0,,0,3,36,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,692.3,1.0,,,,,9925.2239,2462.0227,0,0,0.0,,0,0,21847,2,,,,1.0,1.0,,2460.8312,7860.0,2320.0,-1,,,,,,,12002.0,2012,624,621,0,0,0,0,0,18.0,1.0,,,8.0,40.0,2012,2.0,1,8,2,8900,89001,1,33,17,0,0,3.0,2.0,,0,3,37,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,2.0,8.0,40.0,,,,,,,,5.0,3.0,0.0,1,2.0,2.0,2.0,,1125.0,1.0,,2.0,,,9694.2315,2464.7721,1,1,0.0,,0,0,52301,2,,,,1.0,1.0,,2486.028,7860.0,2320.0,-1,,,,,,,12103.0,2013,636,621,1,0,0,0,1,18.0,8.0,40.0,2013,MIS4_to_MIS8,illinois,1,2012-2013,1,0,0,0,retention
