hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,stayed_state_local,exited_state_local,moved_to_federal,moved_to_private,analytic_sample
21007941101351,1,1.0,3,4,2,301,3011,1,1,17,16980,0,2.0,1.0,,7,4,20,,2,40,4,,2,1,3,7,2,57,233,233,1,0,0,2.0,7.0,,,,,,,,,,1.0,2.0,0.0,2,,,,,,,,1.0,1.0,2.0,19368.8214,4498.2949,0,0,,,0,0,18488,2,,,4.0,,,,4563.7601,7870.0,3620.0,-1,,,,,,1.0,11988.0,2015,660,657,0,0,0,0,0,15.0,11.0,40.0,2015,1.0,3,8,2,301,3011,1,17,16980,0,2.0,1.0,,7,4,21,,2,43,4,,1,3,7,2,57,233,233,1,0,0,2.0,1.0,,32.0,,32.0,,,18.0,,,7.0,4.0,0.0,1,2.0,,1.0,735.0,235.2,2.0,2.0,2.0,,,13267.4003,3463.8279,0,0,1.0,1.0,0,0,33124,2,,,,,,,3337.0031,8190.0,3620.0,-1,,,,,,1.0,11819.0,2016,672,657,0,0,0,0,0,,11.0,41.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,1,0,1,retention
107097665106761,1,1.0,7,4,2,301,3011,1,1,17,16980,0,2.0,1.0,,7,2,32,,2,44,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1250.0,1.0,,2.0,,,11611.8021,2926.4788,0,0,1.0,,0,42,18427,1,,,,,,,2924.5085,7860.0,2310.0,-1,,,,,,,12045.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,2.0,1.0,,7,1,34,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1395.34,1.0,,2.0,,,10831.7577,2649.232,0,0,0.0,,0,0,20749,1,,,,,,,2675.9346,7860.0,2310.0,-1,,,,,,,11894.0,2016,672,657,0,0,0,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
117160719050760,1,4.0,1,4,2,301,3011,1,1,17,16980,0,2.0,1.0,,7,1,54,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,2.0,,,13250.6913,3405.1773,0,0,,,0,0,6543,1,1.0,,,,,,3424.1583,6290.0,9130.0,-1,,,,,,,12065.0,2015,660,657,0,0,0,0,0,12.0,22.0,23.0,2015,1.0,1,8,2,301,3011,1,17,16980,0,2.0,1.0,,7,1,55,2.0,1,39,1,,1,1,1,2,57,57,57,1,0,0,1.0,2.0,5.0,50.0,,,,,,,,5.0,3.0,0.0,1,1.0,2.0,2.0,,2596.15,1.0,,,,,12134.0403,3170.9328,0,0,0.0,,0,0,20730,1,1.0,,,,,,3155.1834,6180.0,7410.0,-1,,,,,,,11922.0,2016,672,657,0,0,0,0,0,12.0,20.0,23.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
154391070095616,1,1.0,1,4,2,301,3011,1,1,17,16980,97,2.0,1.0,,7,4,17,,1,36,1,,3,1,3,7,2,57,128,128,1,0,0,2.0,7.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,1.0,1.0,1.0,11889.2419,2815.9946,0,0,,,0,0,47692,3,,,,,,,2803.1654,8590.0,3955.0,-1,,,,,1.0,1.0,12085.0,2015,660,657,0,0,0,0,0,10.0,12.0,44.0,2015,1.0,1,8,2,301,3011,1,17,16980,97,2.0,1.0,,7,4,18,,1,37,1,,1,3,7,2,57,128,128,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,1.0,10720.7983,2669.8345,0,0,,,0,0,33173,3,,,,,,,2613.2596,,,-1,,,,,1.0,1.0,11949.0,2016,672,657,0,0,0,0,0,11.0,,,2016,MIS4_to_MIS8,illinois,1,2015-2016,0,1,0,0,retention
310003421112697,1,1.0,4,4,2,301,3011,1,1,17,16980,97,2.0,1.0,,7,6,59,,1,39,1,,2,1,4,5,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,4200.0,2340.0,1.0,,,,,13664.5319,3470.0019,0,0,1.0,1.0,0,42,52975,2,1.0,,,,,,3458.4681,7860.0,7210.0,-1,3.0,4.0,,,,,12197.0,2015,660,657,0,0,0,0,0,12.0,20.0,40.0,2015,1.0,4,8,2,301,3011,1,17,16980,97,2.0,1.0,,7,6,60,,1,39,1,,1,4,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1730.0,2.0,2.0,,,,12567.3377,3156.9546,0,0,1.0,,0,0,65569,2,1.0,,,,,,3143.7592,7860.0,7210.0,-1,3.0,4.0,,,,,12060.0,2016,672,657,0,0,0,0,0,12.0,20.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
791650963451001,1,2.0,1,4,2,301,3011,1,1,17,16980,97,2.0,1.0,,7,3,48,1.0,2,39,1,1.0,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,3280.0,1312.0,1.0,,2.0,,,10689.7811,2656.6609,3,2,0.0,0.0,0,0,15364,2,1.0,,,,,,2697.7917,9470.0,5520.0,-1,,,,,,,12380.0,2015,660,657,0,0,1,0,0,12.0,17.0,51.0,2015,1.0,1,8,2,301,3011,1,17,16980,97,2.0,1.0,,7,3,49,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,3100.0,1612.0,1.0,,2.0,,,11226.8919,2857.4553,3,2,0.0,0.0,0,0,33172,2,1.0,,,,,,2862.7739,9470.0,5520.0,-1,,,,,,,12234.0,2016,672,657,0,0,1,0,0,12.0,17.0,51.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
165191070063500,1,2.0,4,4,2,301,3011,1,1,17,0,0,3.0,2.0,,0,7,26,,2,44,1,,2,1,4,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,10.0,32.0,,,10.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,738.46,2.0,1.0,2.0,,,13544.0985,3353.1408,0,0,0.0,,0,0,15340,2,,,,,,,3411.1701,7860.0,3230.0,-1,,,,,,,12507.0,2015,660,657,0,0,0,0,0,,10.0,40.0,2015,1.0,4,8,2,301,3011,1,17,0,0,3.0,2.0,,0,7,27,,2,44,1,,1,4,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,846.15,2.0,2.0,2.0,,,12192.666,3034.0953,0,0,0.0,,0,0,58204,2,,,,,,,3012.1405,7860.0,3230.0,-1,,,,,,,12315.0,2016,672,657,0,0,0,0,0,,10.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
271680180100200,1,1.0,7,4,2,301,3011,1,1,17,0,0,3.0,2.0,,0,2,25,,2,43,1,,1,0,0,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,576.92,1.0,,2.0,,,13544.0985,3353.1408,0,0,0.0,,0,0,57561,1,,,,,,,3411.1701,7860.0,2320.0,-1,,,,,,,12520.0,2015,660,657,0,0,0,0,0,,8.0,40.0,2015,1.0,7,8,2,301,3011,1,17,0,0,3.0,2.0,,0,2,26,,2,43,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,653.84,1.0,,2.0,,,12192.666,3034.0953,0,0,0.0,,0,0,8770,1,,,,,,,3012.1405,7860.0,2320.0,-1,,,,,,,12334.0,2016,672,657,0,0,0,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
802106201710008,1,2.0,1,4,2,301,3011,1,1,17,0,0,3.0,2.0,,0,1,40,2.0,1,43,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,37.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,905.0,2.0,2.0,2.0,,,10574.1187,2611.7431,3,2,0.0,,0,0,30989,1,,,,,,,2646.4401,9470.0,2015.0,-1,,,,,,,12566.0,2015,660,657,0,0,1,0,0,,6.0,51.0,2015,1.0,1,8,2,301,3011,1,17,0,0,3.0,2.0,,0,1,41,2.0,1,43,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,623.07,2.0,2.0,2.0,,,10231.794,2522.4571,3,2,0.0,,0,0,20965,1,,,,,,,2538.9659,9470.0,2015.0,-1,,,,,,,12360.0,2016,672,657,0,0,1,0,0,,6.0,51.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
802106201710008,1,2.0,1,4,2,301,3011,1,1,17,0,0,3.0,2.0,,0,3,39,1.0,2,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,900.0,1.0,,2.0,,,11863.1139,2869.3035,3,2,0.0,,0,0,30989,2,,,,,,,2890.2751,7860.0,2310.0,-1,,,,,,,12567.0,2015,660,657,0,0,1,0,0,,8.0,40.0,2015,1.0,1,8,2,301,3011,1,17,0,0,3.0,2.0,,0,3,40,1.0,2,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,623.07,1.0,,2.0,,,11677.9596,2894.816,3,2,0.0,,0,0,20965,2,,,,,,,2932.5876,7860.0,2310.0,-1,,,,,,,12361.0,2016,672,657,0,0,1,0,0,,8.0,40.0,2016,MIS4_to_MIS8,illinois,1,2015-2016,1,0,0,0,retention
