HHID,PN,SSUBHH,RSUBHH,SPN_SP,SCSR,SFAMR,SFINR,SJ2JOBNDX,SJ2Z140,SJ2Z142,SJ2Z143,SJ2Z510M,SJ2Z504,SJ2Z139,SJ2Z505,SJ2Z507,SJ2Z200,SJ2Z503,SJ2W401,SJ2W403,SJ2W404M1,SJ2W404M2,SJ2W404M3,SJ2W404M4,SJ2W407,SJ2W408,SJ2W460,SJ2W410,SJ2W411,SJ2W412M,SJ2W405,SJ2W799,SJ2Z508,SJ2W790,SJ2W452,SJ2W419,SJ2W420M1,SJ2W420M2,SJ2W420M3,SJ2W420M4,SJ2W458,SJ2W434,SJ2W435,SJ2W436,SJ2W437,SJ2W439,SJ2W440,SJ2W441,SJ2W443,SJ2W444,SJ2W445,SJ2W446,SJ2W447,SJ2W448,SJ2W449,SJ2W451,SJ2W422,SJ2W424,SJ2352,SJ2850,SJ2338,SJ2945,SJ2W429M1,SJ2W429M2,SJ2W429M3,SJ2W429M4,SJ2W429M5,SJ2W425,SJ2W009,SJ2W455,SJ2W010,SJ2W011,SJ2W012,SJ2W002,SJ2W003,SJ2W004,SJ2W005,SJ2801,SJ2W431,SJ2W432,SJ2W433,SJ2881,SJ2404,SJ2405,SJ2809,SJ2810,SJ2811,SJ2406,SJ2407,SJ2408,SJ2409,SJ2878,SJ2396,SJ2397,SJ2806,SJ2807,SJ2808,SJ2398,SJ2399,SJ2400,SJ2401,SJ2938,SJ2812,SJ2813,SJ2814,SJ2815,SJ2417,SJ2939,SJ2660,SJ2661,SJ2662,SJ2664,SJ2816,SJ2817,SJ2818,SJ2819,SJ2988,SJ2W426,SJ2W013,SJ2W108,SJ2W014,SJ2W086,SJ2W015,SJ2W016,SJ2W028,SJ2W049,SJ2W051,SJ2W052,SJ2W053,SJ2W054,SJ2W065,SJ2W427M1,SJ2W427M2,SJ2W427M3,SJ2W427M4,SJ2W063,SJ2W453M1,SJ2W453M2,SJ2W453M3,SJ2W453M4,SJ2W453M5,SJ2W453M6,SJ2W099,SJ2W018,SJ2W100,SJ2W019,SJ2W428,SJ2353,SJ2903,SJ2354,SJ2W457,SJ2926,SJ2927,SJ2928,SJ2929,SJ2931M1,SJ2931M2,SJ2931M3,SJ2363,SJ2364,SJ2365,SJ2366,SJ2932,SJ2933,SJ2934,SJ2935,SJ2947,SJ2356,SJ2789,SJ2790,SJ2791,SJ2357,SJ2358,SJ2359,SJ2360,SJ2W089,SJ2W091,SJ2W092,SJ2W093,SJ2W094,SJ2W459,SWEBNONRSP,SJ2MODE,SVDATE,SVERSION
010577,010,7,7,,1,1,1,1,,1969,1998,2,301,1,101,,2012,2,,2,,,,,,301,301,1969,1998,2,1,1,1,2,5,1,,,,,,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,,,98,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,65,,632,4,5,1,,,,,5,1,,,,9999998,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,6,1
010645,031,0,0,,1,1,1,1,1,1994,2013,5,301,1,101,3,2010,2,,1,,,,,3,301,,1994,2013,5,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,98,,,,,,,,,1,99999998,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,,,,5,1,,,66,,700,4,5,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
010769,040,0,0,,1,1,1,10,,2015,,,,,,,,,5,,,,,,,302,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1
010769,040,0,0,,1,1,1,2,2,2015,,9,302,1,101,1,2018,1,,1,,,,,1,302,,2015,,9,1,1,1,1,1,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,5,,,,,,1,600,,,,,,,,,,1,5,,1,1,10,,,,,,,,1,6,,,,,,,,,,998,0,99999996,98,1,3,5,,,,,,,,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
010893,010,0,0,011,1,1,1,1,,1982,,9,301,1,102,1,2012,1,,1,,,,,1,301,,1982,,9,1,1,1,1,1,1,,,,,,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,,,40,,,5,,,,,,1,500000,,,,,,,,,,5,,,1,3,,,,,400,,,,1,1,8,,,,,,,,,100,,,,1,1,5,8,,5,,,,,5,5,,,,,,,,,,,,,,2,,,,,,,,,,,2021,200000,,,1,86,,,,1,1,1,1,8,,,,,,,,,,,3,,,,,24000,,,,4,,,,3,5,,1,6,1
010893,010,0,0,011,1,1,1,1,2,1982,,9,301,2,103,6,2018,1,,1,,,,,6,301,,1982,,9,1,2,1,1,1,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,40,,,5,,,,,,1,148000,,,,,,,,,,5,,,5,,,,,,,,,,5,,,,,,,,,,5,0,,,,5,,,,,,,,,,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
010893,010,0,0,011,1,1,1,1,2,1982,,9,301,3,104,6,2018,1,,1,,,,,6,301,,1982,,9,1,3,1,1,1,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,40,,,5,,,,,,1,140000,,,,,,,,,,5,,,5,,,,,,,,,,5,,,,,,,,,,5,0,,,,5,,,,,,,,,,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,85,,,,1,1,1,1,3,,,,,,,,,,,3,,,,,10000,,,,4,,,,3,5,,1,6,1
010893,010,0,0,011,1,1,1,10,,1982,,,,,,,,,5,,,,,,,301,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
011341,010,0,0,,1,1,1,2,,1976,1999,3,304,1,101,99,1994,2,,1,,,,,99,304,,1976,1999,3,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,0,99999996,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,59,98,5,,,,,,,,,,8,1,,,60,,751,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
011802,011,0,0,010,5,5,5,1,1,2003,2019,8,302,1,101,1,2010,2,,5,1,,,,1,302,,2003,2019,8,1,1,1,2,5,1,,,,,,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,21000,6,4,7,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1
011911,040,0,0,,1,1,1,1,2,1991,2020,2,301,1,101,9,2010,2,,1,,,,,9,301,,1991,2020,2,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,99999996,98,5,,,,,,,,,,8,1,,,74,,10000,6,5,3,2022,,,,1,5,,,,,,,,,,,,,,,1,75,,,,1,1,1,1,1,,,9999998,0,99999996,98,,,,,,,,,,,,,,,,,,,5,,1,2,1
011983,040,0,0,,1,1,1,1,2,,2006,,301,1,101,3,2006,2,,2,,,,,3,301,301,1986,2006,2,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,20,,,,,,,,,1,460391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,1,1,5,,,7,,,,,5,1,,,65,,24962,6,5,4,,,,1,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,6,1
012005,010,0,0,,1,1,1,1,1,1986,2021,,301,1,101,1,2010,1,,5,5,,,,1,301,,1986,2021,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
012009,010,0,0,,1,1,1,1,,1980,1988,2,301,1,101,3,2012,2,,1,,,,,3,301,,1980,1988,2,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,98,,,,,,,,,1,99999998,,0,99999,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,5,,,,,5,,,,,8,1,,,98,,99999998,,,1,,,,,8,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
012033,011,2,2,,1,1,1,1,,,,,301,1,101,2,2012,2,,1,,,,,2,301,,,,,4,1,4,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,65,,325,4,5,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1
012280,030,0,0,020,5,5,1,3,,,,,304,1,101,3,1998,2,,1,,,,,3,304,,,,,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,8,5,,,,,,,,8,1,,,98,,99999998,,,8,,,,8,8,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
012319,010,0,0,,1,1,1,2,2,2005,2012,3,303,1,101,3,2018,2,,5,97,,,,3,303,,2005,2012,3,1,1,1,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
012393,020,0,0,,1,1,1,2,,1973,1994,3,302,1,101,97,1996,2,,1,,,,,97,302,,1973,1994,3,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,98,,,,,,,,,1,99999998,,0,99999,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,99999996,98,8,,,,,,,,,,5,1,,,62,,800,4,8,1,,,,,8,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,6,1
012443,040,0,0,,1,1,1,2,,9998,9998,3,302,2,102,1,2012,2,,1,,,,,1,302,,,,3,1,2,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,5,,,,,1,75,,,,5,1,,,63,,1025,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
012443,040,0,0,,1,1,1,1,,1970,2000,3,301,1,101,3,2012,2,,1,,,,,3,301,,1970,2000,3,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,5,,,,,5,,,,,5,1,,,55,,644,4,5,1,,,,,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
012445,010,0,0,,1,1,1,1,,1978,1998,3,301,1,101,98,2012,2,,2,,,,,98,301,301,1978,1998,3,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,8,,,,,,,,,,5,1,,,72,,450,4,5,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,3,1
012474,040,0,0,,1,1,1,1,1,,2006,,301,1,101,97,2006,2,,1,,,,,97,301,,,2006,,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,0,99999996,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,5,,,,,,,,,,5,1,,,59,6,2750,4,1,1,,,,,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,3,1
012481,010,0,0,,1,1,1,4,,1989,1999,9,305,2,103,1,2012,2,,1,,,,,1,305,,1989,1999,9,1,2,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,15,,,,,,,,,1,99999998,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,21,39,,5,,,,,,,,,,1,1,,,98,,325,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
012481,010,0,0,,1,1,1,1,2,2008,2010,8,301,1,102,4,2010,2,,1,,,,,4,301,,2008,2010,8,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,,,,,,,,,1,99999998,,0,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,8,,,,,,,,,,5,1,,,78,,310,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
012510,010,0,0,020,1,1,1,1,,,1978,9,301,1,101,1,2012,2,,1,,,,,1,301,,,1978,9,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,17,,,,,,,,,1,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,60,60,,1,8,8,,,,,,,,5,1,,,70,,50000,6,5,8,,,,2,8,8,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,6,1
012543,010,0,0,,1,1,1,1,,1975,2005,9,301,1,102,6,2012,2,,1,,,,,6,301,,1975,2005,9,1,1,1,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,78000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0,19,,1,1,5,,,,,,,,1,1,,,72,,3000,6,5,1,,,,,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
012695,030,0,0,020,1,1,5,1,2,,2003,,301,2,103,1,2004,2,,1,,,,,1,301,,,2003,,2,2,2,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,1,1,5,,,,,,,,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,72,,,,8,,1,1,3,,,,,,,,,,,3,,,,,5000,,,,4,,,,1,5,,2,2,1
012695,030,0,0,020,1,1,5,2,2,2003,2016,9,302,1,102,97,2010,2,,1,,,,,97,302,,2003,2016,9,2,1,2,2,5,1,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,5,,,,,,,,,,5,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,72,,,,5,,1,1,3,,,,,,,,,,,3,,,,,7000,,,,3,,,98,1,5,,2,2,1
012756,011,0,0,010,5,5,5,1,1,1955,2013,,301,2,103,2,2018,2,,2,,,,,2,301,301,1955,2013,5,2,2,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,98,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,74,,13000,4,1,5,,,,2,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,6,1
012756,011,0,0,010,5,5,5,1,2,1955,2013,,301,1,102,97,2010,2,,2,,,,,97,301,301,1955,2013,5,2,1,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,40,,,,,,,,,1,450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,1,1,5,,,,,,,,5,1,,,74,,3000,4,5,4,,,,1,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,6,1
012967,010,0,0,,1,1,1,2,,,,,302,2,102,1,2014,2,,5,8,,,,1,302,,,,,2,2,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-8,,3000,6,5,4,,,,,1,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,5,1
012967,010,0,0,,1,1,1,1,2,1977,2021,5,301,1,101,16,2010,1,,5,1,,,,16,301,,1977,2021,5,1,1,1,1,5,1,,,,,,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,35000,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,5,1
013063,010,0,0,,1,1,1,1,1,2010,9998,7,302,1,102,2,2018,2,,5,98,,,,2,302,,2010,,7,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
013158,010,0,0,,1,1,1,2,,1954,1977,5,302,2,102,97,2012,2,,1,,,,,97,302,,1954,1977,5,2,2,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,250001,99999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,,,,5,1,,,39,,2279,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
013158,010,0,0,,1,1,1,3,,1954,1977,5,303,3,103,97,2012,2,,1,,,,,97,303,,1954,1977,5,2,3,2,2,5,1,,,,,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,1,99999998,,250001,99999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,,,,,,,,,,5,1,,,98,,3022,4,1,1,,,,,5,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,1,1
