hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2011_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,race21_t1,race26_t1,occ2012_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state_t,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
40421370996694,1,1.0,1,4,2,8800,88001,1,1,33,17,37900,0,1.0,1.0,,3,4,16,,1,36,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,18.0,,10.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,825.0,148.5,2.0,2.0,1.0,1.0,1.0,12828.5474,2751.0327,0,0,0.0,0.0,0,0,18410,3,,,,,,,2827.3303,4880.0,4760.0,-1,,,,,2.0,1.0,11205.0,2011,612,609,0,0,0,0,0,10.0,16.0,22.0,2011,1.0,1,8,2,8800,88001,1,17,37900,0,1.0,1.0,,3,4,17,,1,37,1,,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,16.0,,16.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,825.0,132.0,2.0,2.0,1.0,1.0,1.0,13294.0075,2937.2466,0,0,0.0,0.0,0,0,21863,3,,,,,,,3026.7226,4880.0,5240.0,-1,,,,,2.0,1.0,11046.0,2012,624,609,0,0,0,0,0,11.0,1.0,,,17.0,22.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
80971090513339,1,1.0,1,4,2,8800,88001,1,1,33,17,40420,0,1.0,1.0,,3,1,49,2.0,2,39,1,,1,1,1,1,2,150,150,150,4,0,14,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13905.7363,3431.3124,0,0,,,0,0,30652,1,1.0,,,,,,3501.854,,,-1,,,,,,,11218.0,2011,612,609,0,0,0,0,0,12.0,,,2011,1.0,1,8,2,8800,88001,1,17,40420,0,1.0,1.0,,3,1,50,2.0,2,39,1,,1,1,1,2,150,150,150,4,0,14,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11406.3261,2932.4114,0,0,,,0,0,34935,1,1.0,,,,,,2900.1371,,,-1,,,,,,,11057.0,2012,624,609,0,0,0,0,0,12.0,1.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
80971090513339,1,1.0,1,4,2,8800,88001,1,1,33,17,40420,0,1.0,1.0,,3,3,47,1.0,1,39,1,,2,1,2,1,2,150,150,150,4,0,14,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,2400.0,960.0,1.0,,,,,14032.9324,3449.718,0,0,1.0,1.0,0,42,30652,2,1.0,,,,,,3467.9314,3590.0,4220.0,-1,,,,,,,11219.0,2011,612,609,0,0,0,0,0,12.0,14.0,10.0,2011,1.0,1,8,2,8800,88001,1,17,40420,0,1.0,1.0,,3,3,48,1.0,1,39,1,,1,2,1,2,150,150,150,4,0,14,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1550.0,620.0,2.0,2.0,,,,12326.366,3128.6718,0,0,0.0,0.0,0,0,34935,2,1.0,,,,,,3131.5976,3590.0,7330.0,-1,,,,,,,11058.0,2012,624,609,0,0,0,0,0,12.0,1.0,,,20.0,10.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
80971090513339,1,1.0,1,4,2,8800,88001,1,1,33,17,40420,0,1.0,1.0,,3,4,21,,1,40,1,,3,1,3,7,2,150,150,150,4,0,14,2.0,1.0,,20.0,,20.0,,,20.0,,,7.0,4.0,0.0,1,2.0,,1.0,900.0,180.0,2.0,2.0,1.0,1.0,2.0,13188.1427,3291.2479,0,0,1.0,1.0,0,42,30652,3,,,2.0,,,,3283.2003,4970.0,4720.0,-1,,,,,1.0,1.0,11221.0,2011,612,609,0,0,0,0,0,13.0,16.0,22.0,2011,1.0,1,8,2,8800,88001,1,17,40420,0,1.0,1.0,,3,4,22,,1,40,1,,1,3,7,3,150,150,150,4,0,14,,,,-1.0,,,,,,,,,,,2,,,,,,,,,,,0.0,0.0,0,0,,,0,0,34935,3,,,2.0,,,,0.0,,,-1,,,,,1.0,1.0,11059.0,2012,624,609,0,0,0,0,0,13.0,1.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
92311370998393,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,1,51,2.0,1,39,1,1.0,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1500.0,2.0,2.0,,,,16581.0962,4156.0218,0,0,1.0,,0,42,51813,1,1.0,,,,,,4097.6542,4580.0,9130.0,-1,3.0,,,,,,11223.0,2011,612,609,0,0,0,0,0,12.0,22.0,21.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,1,52,2.0,1,39,1,1.0,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1600.0,640.0,2.0,2.0,,,,17028.7872,4330.1925,0,0,1.0,1.0,0,42,63042,1,1.0,,,,,,4326.2799,3580.0,8120.0,-1,3.0,,,,,,11060.0,2012,624,609,0,0,0,0,0,12.0,1.0,,,21.0,10.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
92311370998393,1,2.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,3,80,1.0,2,34,1,1.0,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,20.0,,20.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,1175.0,235.0,2.0,2.0,,,,11275.9907,3043.1749,0,0,1.0,1.0,0,42,51813,2,,,,,,,2937.2438,8680.0,4110.0,-1,,,,,,,11224.0,2011,612,609,0,0,0,0,0,7.5,13.0,46.0,2011,1.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,3,80,1.0,2,34,1,1.0,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,25.0,,25.0,,,22.0,,,7.0,4.0,0.0,1,2.0,,1.0,1025.0,256.25,2.0,2.0,,,,11596.4089,3042.411,0,0,1.0,1.0,0,42,63042,2,,,,,,,2964.6832,8680.0,4110.0,-1,,,,,,,11061.0,2012,624,609,0,0,0,0,0,7.5,1.0,,,13.0,46.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
103053503043741,1,1.0,3,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,,7,1,39,,1,44,1,,1,1,1,5,2,161,161,161,4,0,13,1.0,1.0,,60.0,,60.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1923.07,2.0,2.0,,,,11071.9791,2810.1234,0,0,0.0,,0,0,6733,1,,,,,,2.0,2802.0778,770.0,220.0,-1,,,,,2.0,,11231.0,2011,612,609,0,0,0,0,0,18.0,1.0,4.0,2011,1.0,3,8,2,8800,88001,1,17,16980,0,1.0,1.0,,7,1,40,,1,44,1,,1,1,5,2,161,161,161,4,0,13,1.0,1.0,,55.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1923.07,2.0,2.0,,,,11589.0129,2826.1751,0,0,0.0,,0,0,4597,1,,,,,,2.0,2833.6623,770.0,430.0,-1,,,,,2.0,,11069.0,2012,624,609,0,0,0,0,0,18.0,1.0,,,1.0,4.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
103053503043741,1,1.0,3,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,,7,6,68,,2,43,1,,2,1,4,3,2,161,161,161,5,0,21,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12930.5155,3244.1056,0,0,,,0,0,6733,2,,,,2.0,,,3260.8417,,,-1,,,,,,,11232.0,2011,612,609,0,0,0,0,0,16.0,,,2011,1.0,3,8,2,8800,88001,1,17,16980,0,1.0,1.0,,7,6,70,,2,43,1,,1,4,3,2,161,161,161,5,0,21,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12119.4816,3040.8564,0,0,,,0,0,4597,2,,,,2.0,,,3035.5317,,,-1,,,,,,,11070.0,2012,624,609,0,0,0,0,0,16.0,1.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,0,recruitment
193913609033770,1,1.0,7,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,34,,2,43,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1000.0,400.0,2.0,2.0,,,,11366.7434,2628.481,0,0,1.0,1.0,0,42,47854,1,,,,2.0,,,2697.2988,6180.0,5410.0,-1,,,,,,,11236.0,2011,612,609,0,0,0,0,0,16.0,17.0,23.0,2011,1.0,7,8,2,8800,88001,1,17,16980,0,1.0,1.0,1.0,7,2,38,,2,44,2,,0,0,7,2,57,57,57,1,0,0,1.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11211.9862,3124.1137,0,0,,,0,0,51713,1,,,,,,2.0,3056.6196,,,-1,,,,,,,11074.0,2012,624,609,0,0,0,0,0,18.0,2.0,,,,,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
195933105097785,1,1.0,1,4,2,8800,88001,1,1,33,17,16980,0,1.0,1.0,,7,1,33,2.0,1,43,1,,1,1,1,1,2,301,301,110,5,0,17,1.0,1.0,,40.0,,55.0,,,,,,2.0,5.0,0.0,1,1.0,2.0,2.0,,2884.61,2.0,2.0,,,,12057.1994,3061.7442,1,1,0.0,,0,0,51812,1,,,,1.0,1.0,,3027.9247,6990.0,1200.0,-1,,,,,,,11241.0,2011,612,609,1,0,0,0,1,18.0,3.0,33.0,2011,2.0,1,8,2,8800,88001,1,17,16980,0,1.0,1.0,,7,1,34,2.0,1,43,1,,1,1,1,2,301,301,110,5,0,17,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1730.76,2.0,2.0,,,,11593.0898,2897.2635,1,2,0.0,,0,0,63041,1,,,,1.0,1.0,,2909.6616,6990.0,5920.0,-1,,,,,,,11092.0,2012,624,609,1,0,0,0,1,18.0,1.0,,,17.0,33.0,2012,MIS4_to_MIS8,illinois,1,2011-2012,0,0,1,recruitment
