hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state_t,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
193977404073728,1,1.0,7,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,1.0,7,2,80,,2,39,1,,1,0,0,4,2,57,57,57,1,0,0,1.0,5.0,,,,,,11.0,,,,1.0,,,2,,,,,,,,,,,13547.1004,3369.584,0,0,,,0,0,18138,1,1.0,,,,,,3396.3784,,,-1,,,,,,,11114.0,2010,600,597,0,0,0,0,0,12.0,,,2010,1.0,7,8,2,8600,86001,1,17,16980,0,1.0,1.0,1.0,7,2,80,,2,39,1,,0,0,4,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12675.1368,3180.0343,0,0,,,0,0,4001,1,1.0,,,,,,3196.4398,,,-1,,,,,,,11240.0,2011,612,597,0,0,0,0,0,12.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
199737302013788,1,1.0,4,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,1,32,,2,36,1,1.0,1,1,1,6,2,303,303,303,5,0,18,1.0,4.0,,,,,,,,27.0,2.0,12.0,4.0,0.0,2,,,,,,,,,,,10783.3149,2772.6361,3,3,,,0,0,21471,1,,,,,,,2664.4627,7690.0,4230.0,-1,,,,,,,11122.0,2010,600,597,0,0,1,0,0,10.0,14.0,38.0,2010,1.0,4,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,1,33,,2,36,1,1.0,1,1,6,2,303,303,303,5,0,18,1.0,1.0,,-4.0,4.0,14.0,,,4.0,,,4.0,4.0,0.0,1,2.0,2.0,1.0,800.0,112.0,2.0,2.0,,,,13453.9219,3307.2054,10,3,1.0,1.0,0,42,30463,1,,,,,,,3371.2884,1880.0,9640.0,-1,,,,,,,11255.0,2011,612,597,0,0,1,1,0,10.0,22.0,17.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
199737302013788,1,1.0,4,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,12,26,,1,34,1,1.0,7,0,0,6,2,303,303,303,5,0,19,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1125.0,450.0,2.0,2.0,,,,15765.1451,3998.7118,0,0,1.0,1.0,0,0,21471,7,,,,,,,3966.198,1280.0,9130.0,-1,,,,,,,11123.0,2010,600,597,0,0,0,0,0,7.5,22.0,14.0,2010,1.0,4,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,12,27,,1,34,1,1.0,0,0,6,2,303,303,303,5,0,19,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,815.0,326.0,2.0,2.0,,,,15806.6806,3936.0109,0,0,1.0,1.0,0,42,30463,7,,,,,,,3969.5321,1280.0,9130.0,-1,,,,,,,11257.0,2011,612,597,0,0,0,0,0,7.5,22.0,14.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
199737302013788,1,1.0,4,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,16,33,,1,34,1,1.0,2,0,0,4,2,303,303,303,5,0,16,2.0,1.0,,40.0,1.0,32.0,,,1.0,,,3.0,4.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,,,,16010.52,4054.7768,0,0,1.0,1.0,0,0,21471,2,,,,,,,4027.9294,1280.0,8960.0,-1,,,,,,,11124.0,2010,600,597,0,0,0,0,0,7.5,21.0,14.0,2010,1.0,4,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,16,34,,1,34,1,1.0,0,0,4,2,303,303,303,5,0,16,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,925.0,384.0,2.0,2.0,,,,15185.8424,3789.6286,0,0,1.0,1.0,0,42,30463,2,,,,,,,3813.6209,1280.0,7855.0,-1,,,,,,,11258.0,2011,612,597,0,0,0,0,0,7.5,21.0,14.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
257450370330104,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,1,59,2.0,1,43,4,,1,1,1,1,2,210,210,210,4,0,6,1.0,5.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,16831.7947,4098.0745,0,0,,,0,0,51687,1,,,,2.0,,,4192.4951,7280.0,800.0,-1,,,,,,,11131.0,2010,600,597,0,0,0,0,0,16.0,2.0,36.0,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,1,60,2.0,1,43,4,,1,1,1,2,210,210,210,4,0,6,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13452.0042,3360.8665,0,0,,,0,0,51837,1,,,,2.0,,,3413.076,,,-1,,,,,,,11265.0,2011,612,597,0,0,0,0,0,16.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
257450370330104,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,3,60,1.0,2,43,4,,2,1,2,1,2,210,210,210,4,0,6,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,14442.0605,3521.4812,0,0,,,0,0,51687,2,,,,2.0,,,3620.7528,,,-1,,,,,,,11132.0,2010,600,597,0,0,0,0,0,16.0,,,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,3,61,1.0,2,43,4,,1,2,1,2,210,210,210,4,0,6,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,12924.0949,3207.5825,0,0,,,0,0,51837,2,,,,2.0,,,3259.2225,,,-1,,,,,,,11266.0,2011,612,597,0,0,0,0,0,16.0,,,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
257450370330104,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,4,26,,1,40,4,,3,1,3,5,2,57,210,210,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,673.0,2.0,2.0,,,,13965.7036,3445.1777,0,0,1.0,,0,0,51687,3,,,3.0,,,,3513.4941,7670.0,4840.0,-1,,,,,2.0,1.0,11133.0,2010,600,597,0,0,0,0,0,14.0,16.0,38.0,2010,1.0,1,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,4,27,,1,40,4,,1,3,5,2,57,210,210,1,0,0,1.0,2.0,4.0,40.0,,,,,,,,5.0,4.0,0.0,1,2.0,2.0,2.0,,769.23,2.0,2.0,,,,15064.4321,3741.5009,0,0,0.0,,0,0,51837,3,,,3.0,,,,3783.1312,8660.0,340.0,-1,,,,,2.0,1.0,11267.0,2011,612,597,0,0,0,0,0,14.0,1.0,45.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
287048870069107,1,3.0,3,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,1,34,,1,40,1,,1,1,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,11.0,,,,1.0,4.0,0.0,2,,,,,,,,,,,11874.9151,2939.761,0,0,,,0,0,33985,1,,,1.0,,,,2957.8262,770.0,6320.0,-1,,,,,3.0,,11138.0,2010,600,597,0,0,0,0,0,12.0,19.0,4.0,2010,3.0,3,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,1,35,,1,39,1,,1,1,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,4.0,0.0,2,,,,,,,,,,,11437.9082,2810.1234,0,0,,,0,0,18231,1,1.0,,,,,,2903.5943,770.0,6260.0,-1,,,,,3.0,,11271.0,2011,612,597,0,0,0,0,0,12.0,19.0,4.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
287048870069107,1,3.0,3,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,6,57,,2,39,1,,3,1,4,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,13640.4358,3401.1856,0,0,,,0,0,33985,3,1.0,,,,,,3502.684,,,-1,,,,,,,11139.0,2010,600,597,0,0,0,0,0,12.0,,,2010,3.0,3,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,6,58,,2,40,1,,1,4,5,2,57,57,57,1,0,0,1.0,4.0,,,,,,,,64.0,2.0,11.0,4.0,0.0,2,,,,,,,,,,,12619.2274,3250.5041,0,0,,,0,0,18231,3,,,2.0,,,,3387.8812,2670.0,160.0,-1,,,,,,,11272.0,2011,612,597,0,0,0,0,0,13.0,1.0,6.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,0,recruitment
287048870069107,1,3.0,3,4,2,8600,86001,1,1,33,17,16980,0,1.0,1.0,,7,7,19,,2,40,1,,2,1,4,7,2,57,57,57,1,0,0,2.0,1.0,,24.0,,24.0,,,14.0,,,6.0,4.0,0.0,1,2.0,,1.0,1100.0,264.0,2.0,2.0,1.0,2.0,2.0,13581.8304,3322.8512,0,0,0.0,0.0,0,0,33985,2,,,1.0,,,,3298.9565,8980.0,5400.0,-1,,,,,3.0,,11140.0,2010,600,597,0,0,0,0,0,12.0,17.0,48.0,2010,3.0,3,8,2,8600,86001,1,17,16980,0,1.0,1.0,,7,7,20,,2,40,1,,1,4,7,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,2.0,,,15942.1196,3782.8748,0,0,0.0,0.0,0,0,18231,2,,,2.0,,,,3768.0254,8980.0,5000.0,-1,,,,,3.0,,11273.0,2011,612,597,0,0,0,0,0,13.0,17.0,48.0,2011,MIS4_to_MIS8,illinois,1,2010-2011,0,0,1,recruitment
