hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,moved_private,moved_self_employed,not_employed_t1,retired_t1,exited_public,switched_class94,analytic_sample
207906281891897,1,2.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,3,56,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,961.0,2.0,2.0,,,,9646.8498,2480.8111,0,0,1.0,,0,0,21362,2,,,3.0,,,,2474.9639,9470.0,430.0,-1,,,,,,,11408.0,2014,648,645,0,0,0,0,0,14.0,1.0,51.0,2014,2.0,1,8,2,9200,92001,1,17,16980,0,2.0,1.0,,7,3,57,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1538.46,2.0,2.0,,,,11516.9894,2781.6906,0,0,0.0,,0,0,18626,2,,,4.0,,,,2807.3709,9470.0,5220.0,-1,,,,,,,12148.0,2015,660,645,0,0,0,0,0,15.0,17.0,51.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
371544057803393,1,2.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,1,65,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,35.0,,35.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1038.0,2.0,2.0,,,,12134.5953,3002.6694,0,0,1.0,,0,0,8190,1,,,,,,2.0,2961.7002,7860.0,2320.0,-1,,,,,,,11493.0,2014,648,645,0,0,0,0,0,18.0,8.0,40.0,2014,1.0,1,8,2,9200,92001,1,17,16980,0,2.0,1.0,,7,1,65,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,12853.3161,3216.5003,0,0,,,0,0,15348,1,,,,,,,3243.5868,7860.0,2310.0,-1,,,,,,,12214.0,2015,660,645,0,0,0,0,0,,8.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,True,False,False,1
710709877669510,1,4.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,3,45,1.0,2,43,4,,2,1,2,1,2,210,210,210,4,0,17,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,4300.0,1153.0,1.0,,2.0,,,12423.7836,3062.2235,10,2,1.0,1.0,0,0,21149,2,,,,2.0,,,3085.0409,7860.0,2540.0,-1,,,,,3.0,,11595.0,2014,648,645,0,0,1,1,0,16.0,8.0,40.0,2014,2.0,1,8,2,9200,92001,1,17,16980,0,2.0,1.0,,7,3,46,1.0,2,43,4,,1,2,1,2,210,210,210,4,0,17,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,826.0,1.0,,2.0,,,12086.8508,3058.8487,3,1,1.0,,0,0,6517,2,,,,,,,3050.3717,7860.0,2540.0,-1,,,,,3.0,,12321.0,2015,660,645,0,0,1,0,0,,8.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
710709989628182,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,1,39,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,44.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,961.0,1.0,,2.0,,,10057.3975,2537.7383,8,2,1.0,,0,42,33320,1,,,,,,2.0,2514.2626,7860.0,2310.0,-1,,,,,5.0,,11604.0,2014,648,645,0,1,1,0,1,18.0,8.0,40.0,2014,2.0,1,8,2,9200,92001,1,17,16980,0,2.0,1.0,,7,1,40,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,6.0,32.0,,,6.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,1000.0,1.0,,2.0,,,11582.2992,2794.0443,3,2,1.0,,0,42,57575,1,,,,,,,2821.8587,7860.0,2310.0,-1,,,,,,,12330.0,2015,660,645,0,0,1,0,0,,8.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
780970096317439,1,1.0,1,4,2,9200,92001,1,1,33.0,17,16980,111,2.0,1.0,,7,1,57,2.0,2,39,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,25.0,,25.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,1047.0,261.75,2.0,2.0,,,,9646.8498,2480.8111,4,1,0.0,0.0,0,0,42995,1,1.0,,,,,,2474.9639,7860.0,4120.0,-1,,,,,,,11653.0,2014,648,645,0,0,0,1,0,12.0,13.0,40.0,2014,1.0,1,8,2,9200,92001,1,17,16980,111,2.0,1.0,,7,1,58,2.0,2,39,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,25.0,,15.0,,,23.0,,,7.0,3.0,0.0,1,2.0,,1.0,1200.0,300.0,2.0,2.0,,,,11516.9894,2781.6906,4,1,0.0,0.0,0,0,49112,1,1.0,,,,,,2807.3709,7860.0,4130.0,-1,,,,,,,12374.0,2015,660,645,0,0,0,1,0,12.0,13.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
971057489177530,1,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,2.0,1.0,,7,2,64,,1,43,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,1.0,1.0,3918.0,1550.0,1.0,,,,,12550.8644,3296.9262,0,0,0.0,0.0,0,0,8176,1,,,,2.0,,,3255.0079,9370.0,5800.0,-1,,,,,,,11762.0,2014,648,645,0,0,0,0,0,16.0,17.0,51.0,2014,1.0,6,8,2,9200,92001,1,17,16980,0,2.0,1.0,,7,2,65,,1,42,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,1.0,1.0,3900.0,1583.0,2.0,2.0,,,,13014.8067,3216.5003,0,0,0.0,0.0,0,0,6506,1,,,5.0,,,,3087.5623,9480.0,5800.0,-1,,,,,,,12456.0,2015,660,645,0,0,0,0,0,16.0,17.0,51.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
30977066717369,1,1.0,1,4,2,9200,92001,1,1,33.0,17,0,0,3.0,2.0,,0,3,60,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,10.0,8.0,,,10.0,,,4.0,3.0,0.0,1,2.0,,1.0,977.0,390.8,1.0,,,,,12473.4481,3088.2631,0,0,0.0,0.0,0,0,42964,2,1.0,,,,,,3100.6665,6070.0,9415.0,-1,,,,,,,11793.0,2014,648,645,0,0,0,0,0,12.0,22.0,23.0,2014,1.0,1,8,2,9200,92001,1,17,0,0,3.0,2.0,,0,3,61,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1000.0,400.0,1.0,,,,,12809.2235,3287.7968,0,0,0.0,0.0,0,0,18506,2,1.0,,,,,,3228.7713,7860.0,3955.0,-1,,,,,,,12490.0,2015,660,645,0,0,0,0,0,12.0,12.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
967499470179107,1,1.0,4,4,2,9200,92001,1,1,33.0,17,0,0,3.0,2.0,,0,1,52,,2,39,1,,1,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,2500.0,1000.0,1.0,,2.0,,,11615.4373,2907.5184,0,0,0.0,0.0,0,0,4427,1,2.0,7.0,,,,,2884.3145,7860.0,4600.0,-1,,,,,,,11927.0,2014,648,645,0,0,0,0,0,11.0,15.0,40.0,2014,1.0,7,8,2,9200,92001,1,17,0,0,3.0,2.0,,0,2,53,,2,39,1,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,5.0,32.0,,,5.0,,,4.0,2.0,0.0,1,1.0,,1.0,2500.0,1300.0,1.0,,2.0,,,13370.4386,3373.0753,0,0,0.0,0.0,0,0,28511,1,2.0,7.0,,,,,3374.3122,7860.0,4600.0,-1,,,,,,,12576.0,2015,660,645,0,0,0,0,0,11.0,15.0,40.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
39331870987186,2,1.0,6,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,1.0,7,2,43,,1,40,2,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,48.0,,48.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2884.61,1.0,,2.0,,,15883.6942,4030.3077,0,0,0.0,,0,0,42439,1,,,2.0,,,,4010.4516,9470.0,3740.0,-1,2.0,,,,,,48668.0,2014,649,646,0,0,0,0,0,13.0,12.0,51.0,2014,1.0,6,8,2,9200,92001,1,17,16980,0,1.0,1.0,1.0,7,2,44,,1,40,2,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,80.0,,80.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2884.0,1.0,,2.0,,,16309.7277,3885.7363,0,0,1.0,,0,42,31306,1,,,2.0,,,,3847.2681,9470.0,3740.0,-1,2.0,,,,,,50398.0,2015,661,646,0,0,0,0,0,13.0,12.0,51.0,2015,MIS4_to_MIS8,2014-2015,True,False,False,False,False,False,False,1
198788406070709,2,2.0,1,4,2,9200,92001,1,1,33.0,17,16980,0,1.0,1.0,,7,3,55,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2153.84,1.0,,,,,11958.5695,2990.9033,0,0,0.0,,0,0,49568,2,,,,,,3.0,2992.3804,7860.0,2320.0,-1,,,,,,,48724.0,2014,649,646,0,0,0,0,0,18.0,8.0,40.0,2014,2.0,1,8,2,9200,92001,1,17,16980,0,1.0,1.0,,7,3,56,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,50.0,,50.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,2307.69,1.0,,,,,12919.7031,3248.6082,0,0,0.0,,0,0,39422,2,,,,,,,3283.4034,7860.0,2320.0,-1,,,,,,,50481.0,2015,661,646,0,0,0,0,0,,8.0,40.0,2015,MIS4_to_MIS8,2014-2015,False,True,False,False,False,True,True,1
