hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,moved_private,moved_self_employed,not_employed_t1,retired_t1,exited_public,switched_class94,analytic_sample
92311370978373,1,1.0,7,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,14,62,,1,44,1,,2,0,0,5,2,57,57,57,1,0,0,2.0,1.0,,-4.0,4.0,8.0,,,4.0,,,4.0,3.0,0.0,1,2.0,,1.0,1200.0,192.0,1.0,,,,,9622.2841,2575.5169,0,0,0.0,0.0,0,0,22975,2,,,,,,1.0,2565.2919,7860.0,2310.0,-1,,,,,,,11545.0,2013,636,633,0,0,0,0,0,17.0,8.0,40.0,2013,2.0,7,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,14,63,,1,44,1,,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,11.0,,,,1.0,2.0,0.0,2,,,,,,,,,,,13331.3851,3296.9262,0,0,,,0,0,33045,2,,,,,,1.0,3350.8841,7860.0,2320.0,-1,,,,,,,11298.0,2014,648,633,0,0,0,0,0,17.0,8.0,40.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,True,False,True,1
192963303039768,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,3,53,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,5.0,,5.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,2475.0,123.75,2.0,2.0,2.0,,,10956.8302,2717.8923,10,2,0.0,0.0,0,0,35888,2,,,2.0,,,,2755.95,7860.0,3940.0,-1,,,,,,,11593.0,2013,636,633,0,0,1,1,0,13.0,12.0,40.0,2013,2.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,3,54,1.0,2,40,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,5.0,,4.0,,,18.0,,,7.0,3.0,0.0,1,2.0,,1.0,2877.0,143.85,2.0,2.0,2.0,,,10734.6811,2687.0519,3,1,0.0,0.0,0,0,8220,2,,,2.0,,,,2665.6074,9470.0,3940.0,-1,,,,,,,11348.0,2014,648,633,0,0,1,0,0,13.0,12.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
194933201053798,1,2.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,3,55,1.0,2,43,2,,2,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,1.0,2.0,2.0,,1153.84,2.0,2.0,,,,7945.0177,2354.007,0,0,0.0,,0,0,23339,2,,,,1.0,2.0,,2384.4498,9480.0,3255.0,-1,,,,,,,11624.0,2013,636,633,0,0,0,0,0,17.0,10.0,51.0,2013,2.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,3,56,1.0,2,43,2,,1,2,1,2,57,57,57,1,0,0,1.0,2.0,5.0,40.0,,,,,,,,5.0,1.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,,,,10072.9103,2471.9383,0,0,0.0,,0,0,21354,2,,,,1.0,2.0,,2427.8971,8190.0,3255.0,-1,,,,,,,11374.0,2014,648,633,0,0,0,0,0,17.0,10.0,41.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
260178000213820,1,1.0,6,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,2,42,,1,39,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,2.0,5.0,40.0,,,,,,,,5.0,3.0,0.0,1,2.0,2.0,2.0,,961.53,1.0,,2.0,,,9734.0273,2397.5754,0,0,0.0,,0,0,23337,1,1.0,,,,,,2407.6945,770.0,6730.0,-1,,,,,,,11665.0,2013,636,633,0,0,0,0,0,12.0,19.0,4.0,2013,1.0,6,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,2,42,,1,39,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,60.0,,,,,,2.0,3.0,0.0,1,1.0,1.0,1.0,800.0,961.53,2.0,2.0,2.0,,,9491.5337,2391.7198,0,0,0.0,1.0,0,0,21351,1,1.0,,,,,,2385.6215,9390.0,9130.0,-1,,,,,,,11415.0,2014,648,633,0,0,0,0,0,12.0,22.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
310709763719383,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,3,40,1.0,2,44,1,2.0,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,44.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,2.0,,,9507.5658,2408.1342,0,0,0.0,,0,0,45443,2,,,,,,2.0,2438.1587,7860.0,2310.0,2600,,,,,,,11703.0,2013,636,633,0,0,0,0,0,18.0,8.0,40.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,3,41,1.0,2,44,1,2.0,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,42.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,2.0,,,9601.4691,2409.6205,0,0,0.0,,0,0,33046,2,,,,,,2.0,2400.2845,7860.0,2310.0,2600,,,,,,,11454.0,2014,648,633,0,0,0,0,0,18.0,8.0,40.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
310709848086710,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,4,19,,1,40,1,,3,1,3,7,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,850.0,85.0,2.0,2.0,1.0,1.0,2.0,12357.9947,2632.4822,0,0,0.0,0.0,0,0,35791,3,,,2.0,,,,2725.1766,7860.0,2340.0,-1,,,,,2.0,1.0,11712.0,2013,636,633,0,0,0,0,0,13.0,8.0,40.0,2013,2.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,4,20,,1,40,1,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,12086.0075,3042.9004,0,0,,,0,0,42864,3,,,3.0,,,,3066.2328,,,-1,,,,,2.0,1.0,11463.0,2014,648,633,0,0,0,0,0,14.0,,,2014,MIS4_to_MIS8,2013-2014,False,False,False,True,False,True,True,1
310709957985781,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,1,49,2.0,2,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,923.07,1.0,,2.0,,,12225.0179,3041.9353,0,0,0.0,,0,0,35928,1,,,,,,2.0,3074.9347,7860.0,2300.0,-1,,,,,,,11725.0,2013,636,633,0,0,0,0,0,18.0,8.0,40.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,1,50,2.0,2,44,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,13.0,32.0,,,13.0,,,4.0,3.0,0.0,1,2.0,2.0,2.0,,800.0,1.0,,2.0,,,10734.6811,2687.0519,0,0,0.0,,0,0,4403,1,,,,,,2.0,2665.6074,7860.0,2300.0,-1,,,,,,,11475.0,2014,648,633,0,0,0,0,0,18.0,8.0,40.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
310709957985781,1,1.0,1,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,3,55,1.0,1,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,50.0,,70.0,,,,,,2.0,3.0,0.0,1,2.0,1.0,1.0,1450.0,1442.3,1.0,,,,,12710.3852,3171.3395,0,0,0.0,1.0,0,0,35928,2,1.0,,,,,,3189.2378,770.0,7200.0,-1,,,,,,,11726.0,2013,636,633,0,0,0,0,0,12.0,20.0,4.0,2013,1.0,1,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,3,56,1.0,1,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,3.0,0.0,2,,,,,,,,,,,13007.3514,3480.129,0,0,,,0,0,4403,2,1.0,,,,,,3460.5008,770.0,7220.0,-1,,,,,,,11476.0,2014,648,633,0,0,0,0,0,12.0,20.0,4.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,True,False,False,1
570975090413259,1,1.0,7,4,2,9100,91001,1,1,33,17,16980,0,2.0,1.0,,7,2,57,,2,40,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,4.0,24.0,,,4.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,923.07,1.0,,,,,10801.8208,2692.5126,0,0,0.0,,0,0,36002,1,,,2.0,,,,2706.9783,9570.0,565.0,-1,,,,,,,11803.0,2013,636,633,0,0,0,0,0,13.0,2.0,51.0,2013,1.0,7,8,2,9100,91001,1,33.0,17,16980,0,2.0,1.0,,7,2,58,,2,40,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,4.0,32.0,,,4.0,,,4.0,2.0,0.0,1,2.0,2.0,2.0,,961.53,2.0,2.0,,,,9646.8498,2480.8111,0,0,0.0,,0,0,43027,1,,,2.0,,,,2474.9639,9570.0,565.0,-1,,,,,,,11534.0,2014,648,633,0,0,0,0,0,13.0,2.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,False,1
797770560960931,1,1.0,4,4,2,9100,91002,2,2,33,17,16980,0,2.0,1.0,,7,1,57,,2,44,2,,1,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1269.0,1.0,,,,,7945.0177,2354.007,0,0,1.0,,0,42,59241,1,,,,,,2.0,2384.4498,9380.0,900.0,-1,,,,,,,11934.0,2013,636,633,0,0,0,0,0,18.0,2.0,51.0,2013,1.0,7,8,2,9100,91002,2,33.0,17,16980,0,2.0,1.0,,7,2,59,,2,44,2,,0,0,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1365.0,2.0,2.0,,,,10072.9103,2471.9383,0,0,1.0,,0,42,42863,1,,,,,,2.0,2427.8971,9380.0,900.0,-1,,,,,,,11660.0,2014,648,633,0,0,0,0,0,18.0,2.0,51.0,2014,MIS4_to_MIS8,2013-2014,True,False,False,False,False,False,True,1
