hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,state_t,stfips_t,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ00_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,state_t1,stfips_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2011_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,pair,stayed_public,moved_private,moved_self_employed,not_employed_t1,retired_t1,exited_public,switched_class94,analytic_sample
199927808012768,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,3,43,1.0,2,43,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,-4.0,,16.0,,,17.0,,,7.0,2.0,0.0,1,2.0,,1.0,1100.0,176.0,2.0,2.0,,,,12235.8908,3035.0482,10,4,0.0,0.0,0,0,44494,2,,,,1.0,1.0,,3029.3104,7860.0,2310.0,-1,,,,,,,11536.0,2010,600,597,0,0,1,1,0,18.0,8.0,40.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,3,44,1.0,2,43,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1100.0,440.0,2.0,2.0,,,,11755.6619,2833.9897,10,4,0.0,0.0,0,0,55876,2,,,,1.0,1.0,,2838.8845,8470.0,2300.0,-1,,,,,,,11695.0,2011,612,597,0,0,1,1,0,18.0,8.0,43.0,2011,MIS4_to_MIS8,2010-2011,False,True,False,False,False,True,True,1
371953007908196,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,1,34,2.0,2,44,1,,1,1,1,1,2,363,57,57,3,0,6,1.0,1.0,,20.0,,20.0,,,17.0,,,7.0,3.0,0.0,1,2.0,2.0,2.0,,634.61,1.0,,,,,13007.9843,3146.895,1,1,0.0,,0,0,5046,1,,,,,,2.0,3135.9162,7860.0,2310.0,-1,,,,,,,11628.0,2010,600,597,1,0,0,0,1,18.0,8.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,1,35,2.0,2,44,1,,1,1,1,2,363,57,57,3,0,6,1.0,1.0,,20.0,,20.0,,,18.0,,,7.0,3.0,0.0,1,2.0,2.0,2.0,,818.18,1.0,,,,,12007.3024,2919.0579,1,2,0.0,,0,0,30523,1,,,,,,2.0,2899.6534,7860.0,2310.0,-1,,,,,,,11782.0,2011,612,597,1,0,0,0,1,18.0,8.0,40.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
371953007908196,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,3,38,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,1711.53,1.0,,,,,10181.6165,2549.605,1,1,0.0,,0,0,5046,2,,,,,,2.0,2524.3604,7860.0,2320.0,-1,,,,,,,11629.0,2010,600,597,1,0,0,0,1,18.0,8.0,40.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,3,39,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,2023.8,2.0,2.0,,,,10774.2175,2734.55,1,2,0.0,,0,0,30523,2,,,,,,2.0,2726.7208,7860.0,2320.0,-1,,,,,,,11783.0,2011,612,597,1,0,0,0,1,18.0,8.0,40.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
710709877669510,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,3,56,1.0,2,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,1153.84,1.0,,,,,12373.4072,3118.9315,0,0,0.0,,0,0,33984,2,1.0,,,,,,3065.681,9590.0,9040.0,-1,,,,,,,11740.0,2010,600,597,0,0,0,0,0,12.0,22.0,51.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,3,57,1.0,2,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,484.0,1.0,,,,,12737.5963,3163.0875,0,0,1.0,,0,0,47894,2,1.0,,,,,,3138.4653,6290.0,9040.0,-1,,,,,,,11888.0,2011,612,597,0,0,0,0,0,12.0,22.0,23.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
771005017001105,1,1.0,4,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,7,31,,1,40,1,,2,1,4,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,,1.0,1400.0,560.0,2.0,2.0,,,,10661.5573,2695.7992,0,0,1.0,1.0,0,42,8674,2,,,2.0,,,,2682.2365,9470.0,3850.0,-1,,,,,,,11780.0,2010,600,597,0,0,0,0,0,13.0,12.0,51.0,2010,1.0,4,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,7,32,,1,40,1,,1,4,5,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,2245.0,1046.0,1.0,,,,,11732.942,2979.404,0,0,1.0,1.0,0,42,30537,2,,,3.0,,,,2946.494,9370.0,3850.0,-1,,,,,,,11925.0,2011,612,597,0,0,0,0,0,14.0,12.0,51.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
807903221890927,1,1.0,6,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,2,43,,1,42,1,,1,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,45.0,,,,,,2.0,3.0,0.0,1,1.0,,1.0,3400.0,1460.0,1.0,,,,,10485.696,2619.1531,0,0,0.0,0.0,0,0,21543,1,,,3.0,,,,2599.7518,9470.0,3850.0,-1,,,,,,,11821.0,2010,600,597,0,0,0,0,0,14.0,12.0,51.0,2010,1.0,6,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,2,44,,1,42,1,,0,0,7,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,1.0,2.0,2.0,,1200.0,1.0,,,,,11045.035,2790.8295,0,0,0.0,,0,0,18313,1,,,3.0,,,,2795.2589,9470.0,3850.0,-1,,,,,,,11953.0,2011,612,597,0,0,0,0,0,14.0,12.0,51.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
907919570519104,1,2.0,1,4,2,8600,86001,1,1,33,17,41180,0,2.0,1.0,,6,1,55,2.0,1,39,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,2.0,2.0,,350.0,1.0,,,,,11635.7808,2903.7328,0,0,1.0,,0,0,8694,1,1.0,,,,,,2901.7604,6080.0,5630.0,-1,,,,,,,11849.0,2010,600,597,0,0,0,0,0,12.0,17.0,23.0,2010,2.0,1,8,2,8600,86001,1,33,17,41180,0,2.0,1.0,,6,1,56,2.0,1,39,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,1.0,0.0,1,2.0,1.0,1.0,1900.0,865.38,1.0,,,,,12272.637,3119.6593,0,0,0.0,1.0,0,0,6916,1,1.0,,,,,,3146.5363,6080.0,4220.0,-1,,,,,,,11976.0,2011,612,597,0,0,0,0,0,12.0,14.0,23.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
943057786177840,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,4,24,,1,43,1,,4,1,3,7,2,57,57,116,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,980.76,2.0,2.0,2.0,,,11932.9045,2990.8654,0,0,0.0,,0,0,44331,4,,,,2.0,,,2942.6282,770.0,1360.0,-1,,,,,1.0,1.0,11870.0,2010,600,597,0,0,0,0,0,16.0,4.0,4.0,2010,1.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,4,26,,1,43,1,,1,3,7,2,57,57,116,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,3.0,0.0,1,2.0,2.0,2.0,,980.76,2.0,2.0,,,,12233.4428,3099.7667,0,0,0.0,,0,0,18222,4,,,,1.0,2.0,,3072.1848,770.0,1360.0,-1,,,,,1.0,1.0,11994.0,2011,612,597,0,0,0,0,0,17.0,4.0,4.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
957799970759100,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,1,51,2.0,2,39,1,,1,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,44.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,2000.0,800.0,1.0,,,,,12930.9131,3271.1053,4,1,0.0,0.0,0,0,34041,1,1.0,,,,,,3266.971,8270.0,3600.0,-1,,,,,,,11889.0,2010,600,597,0,0,0,1,0,12.0,11.0,42.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,1,52,2.0,2,39,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,44.0,,,,,,2.0,2.0,0.0,1,2.0,,1.0,1800.0,720.0,1.0,,,,,12584.2475,3212.5626,4,1,0.0,0.0,0,0,18322,1,1.0,,,,,,3223.9526,8270.0,3600.0,-1,,,,,,,12009.0,2011,612,597,0,0,0,1,0,12.0,11.0,42.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
967639270939103,1,1.0,1,4,2,8600,86001,1,1,33,17,16980,0,2.0,1.0,,7,1,62,2.0,1,44,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,45.0,,54.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1830.76,1.0,,,,,11127.3368,2822.5753,0,0,0.0,,0,0,8634,1,,,,,,2.0,2763.9281,9470.0,3060.0,1820,,,,,,,11910.0,2010,600,597,0,0,0,0,0,18.0,10.0,51.0,2010,2.0,1,8,2,8600,86001,1,33,17,16980,0,2.0,1.0,,7,1,63,2.0,1,44,1,,1,1,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,42.0,,,,,,2.0,2.0,0.0,1,2.0,2.0,2.0,,1730.76,1.0,,,,,13158.5251,3290.3655,0,0,0.0,,0,0,4003,1,,,,,,2.0,3238.0292,9470.0,2000.0,1820,,,,,,,12023.0,2011,612,597,0,0,0,0,0,18.0,6.0,51.0,2011,MIS4_to_MIS8,2010-2011,True,False,False,False,False,False,False,1
