State,Unweighted N,Ann. avg wtd N (000s),Mean age,% Female,% White,% Black,% Hispanic,% Other race,% HS or less,% Bachelor's+,Mean wkly earn ($),% Union covered
Illinois,34773,1350.3,40.7,46.5,80.5,12.5,2.7,1.7,36.0,34.4,891.0,0.6
Indiana,17609,665.2,40.6,46.4,88.5,8.5,1.5,1.7,46.0,23.8,784.0,0.8
New York,45247,1931.9,41.2,47.4,71.9,17.0,14.8,2.1,35.9,38.1,928.0,1.3
Pennsylvania,32640,1300.3,41.2,46.7,85.3,10.1,4.9,1.8,44.1,29.6,837.0,0.6
Michigan,24848,973.5,40.8,45.9,82.5,12.1,1.0,2.1,37.1,28.3,829.0,0.7
Wisconsin,20300,616.6,40.8,46.6,89.7,5.2,1.4,2.9,39.6,26.5,807.0,0.6
Ohio,29785,1172.1,40.7,47.1,85.4,10.9,1.5,1.9,44.7,25.4,781.0,1.1
