State,Unweighted N,Ann. avg wtd N (000s),Mean age,% Female,% White,% Black,% Hispanic,% Other race,% HS or less,% Bachelor's+,Mean wkly earn ($),% Union covered
Illinois,16011,1383.1,39.8,46.3,81.4,12.6,2.9,1.4,40.1,30.1,799.0,0.7
Indiana,7691,651.9,40.4,46.5,91.2,7.2,1.4,1.0,50.0,21.2,721.0,1.0
New York,20813,1955.3,40.5,47.7,74.7,16.2,14.1,1.5,40.3,33.2,839.0,1.5
Pennsylvania,15068,1267.7,40.3,47.2,88.2,9.1,4.0,1.1,48.2,26.5,759.0,0.8
Michigan,11435,984.1,40.1,46.2,83.1,11.6,0.7,2.0,40.1,25.6,755.0,0.6
Wisconsin,10170,615.4,39.8,47.5,90.9,5.1,1.4,2.0,41.5,26.0,725.0,0.5
Ohio,14223,1210.6,40.3,47.8,87.5,10.0,1.3,1.5,48.1,22.3,707.0,0.8
