hhid,intmonth,hurespli_t,hrhtype_t,minsamp_x,hrlonglk_t,hrsample_t,hrhhid2_t,serial_t,hhnum,stfips,cbsafips_t,county_t,centcity_t,smsastat_t,icntcity_t,smsa04_t,relref95_t,age_t,spouse_t,sex_t,grade92_t,race_t,ethnic_t,lineno,famnum_t,pfamrel_t,marital_t,prpertyp_t,penatvty_t,pemntvty_t,pefntvty_t,prcitshp_t,prcitflg_t,peinusyr_t,selfproxy_t,lfsr94_t,absent94_t,uhourse_t,reason94_t,hourslw_t,laydur_t,dwrsn_t,why3594_t,prunedur_t,untype_t,ftpt94_t,class94_t,agri_t,eligible_t,otc_t,ernpdh2_t,paidhre_t,earnhre_t,earnwke_t,unionmme_t,unioncov_t,schenr_t,studftpt_t,schlvl_t,earnwt_t,weight_t,chldpres_t,ownchild_t,i25d_t,i25c_t,i25a_t,i25b_t,qstnum_t,occurnum_t,ged_t,gedhigr_t,yrcoll_t,grprof_t,gr6cor_t,ms123_t,cmpwgt_t,ind02_t,occ2012_t,occ002_t,vet1_t,vet2_t,vet3_t,vet4_t,linedad_t,linemom_t,recnum_t,year_t,ym_file_t,ym_t,ch02_t,ch35_t,ch613_t,ch1417_t,ch05_t,ihigrdc_t,docc00_t,dind02_t,year_file_x,hurespli_t1,hrhtype_t1,minsamp_y,hrlonglk_t1,hrsample_t1,hrhhid2_t1,serial_t1,cbsafips_t1,county_t1,centcity_t1,smsastat_t1,icntcity_t1,smsa04_t1,relref95_t1,age_t1,spouse_t1,sex_t1,grade92_t1,race_t1,ethnic_t1,famnum_t1,pfamrel_t1,marital_t1,prpertyp_t1,penatvty_t1,pemntvty_t1,pefntvty_t1,prcitshp_t1,prcitflg_t1,peinusyr_t1,selfproxy_t1,lfsr94_t1,absent94_t1,uhourse_t1,reason94_t1,hourslw_t1,laydur_t1,dwrsn_t1,why3594_t1,prunedur_t1,untype_t1,ftpt94_t1,class94_t1,agri_t1,eligible_t1,otc_t1,ernpdh2_t1,paidhre_t1,earnhre_t1,earnwke_t1,unionmme_t1,unioncov_t1,schenr_t1,studftpt_t1,schlvl_t1,earnwt_t1,weight_t1,chldpres_t1,ownchild_t1,i25d_t1,i25c_t1,i25a_t1,i25b_t1,qstnum_t1,occurnum_t1,ged_t1,gedhigr_t1,yrcoll_t1,grprof_t1,gr6cor_t1,ms123_t1,cmpwgt_t1,ind02_t1,occ2012_t1,occ002_t1,vet1_t1,vet2_t1,vet3_t1,vet4_t1,linedad_t1,linemom_t1,recnum_t1,year_t1,ym_file_t1,ym_t1,ch02_t1,ch35_t1,ch613_t1,ch1417_t1,ch05_t1,ihigrdc_t1,docc00_t1,dind02_t1,year_file_y,pair_type,state,illinois,pair,joined_state_local,from_federal,from_private,analytic_sample
131691070620900,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,1,43,2.0,2,40,1,1.0,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,576.92,2.0,2.0,2.0,,,12223.5406,3068.9062,3,2,0.0,,0,0,20806,1,,,2.0,,,,3069.5947,4770.0,4760.0,-1,,,,,,,11494.0,2016,672,669,0,0,1,0,0,13.0,16.0,22.0,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,1,44,2.0,2,40,1,1.0,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,1115.38,2.0,2.0,2.0,,,12676.0582,3217.2649,3,2,0.0,,0,0,55835,1,,,3.0,,,,3203.5286,4770.0,4760.0,-1,,,,,,,11213.0,2017,684,669,0,0,1,0,0,14.0,16.0,22.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
131691070620900,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,3,48,1.0,1,39,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,12325.9505,3230.8902,3,2,,,0,0,20806,2,1.0,,,,,,3120.3216,,,-1,,,,,,,11495.0,2016,672,669,0,0,1,0,0,12.0,,,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,3,49,1.0,1,39,1,,1,2,1,2,57,57,57,1,0,0,2.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,2.0,,,13778.7689,3313.5882,3,2,,,0,0,55835,2,1.0,,,,,,3353.7976,,,-1,,,,,,,11214.0,2017,684,669,0,0,1,0,0,12.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,0,recruitment
134371070742754,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,1,52,,2,40,2,,1,1,1,6,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,1.0,1.0,1320.0,430.0,2.0,2.0,2.0,,,14482.6117,3741.5656,0,0,1.0,1.0,0,0,65544,1,,,3.0,,,,3819.5372,8270.0,4620.0,-1,,,,,,,11505.0,2016,672,669,0,0,0,0,0,14.0,15.0,42.0,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,1,53,,2,40,2,,1,1,6,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,365.38,2.0,2.0,2.0,,,13355.2304,3337.6436,0,0,0.0,,0,0,52319,1,,,3.0,,,,3317.9345,8270.0,4620.0,-1,,,,,,,11220.0,2017,684,669,0,0,0,0,0,14.0,15.0,42.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
139331070607116,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,3,32,1.0,1,44,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,3700.0,1480.0,2.0,2.0,2.0,,,11140.2104,2763.4994,1,1,0.0,0.0,0,0,8625,2,,,,,,,2771.0588,4970.0,430.0,-1,,,,,,,11512.0,2016,672,669,1,0,0,0,1,,1.0,22.0,2016,2.0,1,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,3,33,1.0,1,44,1,,1,2,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,4.0,32.0,,,4.0,,,4.0,4.0,0.0,1,2.0,2.0,2.0,,1730.76,2.0,2.0,2.0,,,12163.9062,3070.014,1,1,0.0,,0,0,22450,2,,,,,,,3051.8457,4970.0,120.0,-1,,,,,,,11225.0,2017,684,669,1,0,0,0,1,,1.0,22.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
139331070707176,1,1.0,7,4,2,401,4011,1,1,17,16980,0,1.0,1.0,1.0,7,2,85,,2,39,2,,1,0,0,5,2,57,57,57,1,0,0,1.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11513.4087,2971.5016,0,0,,,0,0,43089,1,1.0,,,,,,2922.1864,,,-1,,,,,,,11514.0,2016,672,669,0,0,0,0,0,12.0,,,2016,1.0,7,8,2,401,4011,1,16980,0,1.0,1.0,1.0,7,2,65,,2,39,2,,0,0,5,2,57,57,57,1,0,0,1.0,6.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11183.2608,2809.9218,0,0,,,0,0,35184,1,1.0,,,,,,2831.0096,,,-1,,,,,,,11227.0,2017,684,669,0,0,0,0,0,12.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,0,recruitment
149921070063966,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,3.0,7,1,34,2.0,1,41,1,,1,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,1200.0,480.0,1.0,,2.0,,,10807.2426,2680.9016,1,1,1.0,1.0,0,0,8797,1,,,5.0,,,,2688.2351,770.0,6230.0,-1,,,,,,,11516.0,2016,672,669,1,0,0,0,1,16.0,19.0,4.0,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,3.0,7,1,35,2.0,1,46,1,,1,1,1,2,57,57,57,1,0,0,1.0,1.0,,40.0,1.0,32.0,,,1.0,,,3.0,4.0,0.0,1,2.0,,1.0,4000.0,1600.0,1.0,,2.0,,,11695.5671,2952.2018,1,2,0.0,0.0,0,0,52459,1,,,,,,,2975.131,770.0,6230.0,-1,,,,,,,11231.0,2017,684,669,1,0,0,0,1,18.0,19.0,4.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
149921070063966,1,1.0,1,4,2,401,4011,1,1,17,16980,0,1.0,1.0,3.0,7,3,34,1.0,2,40,1,,2,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,800.0,2.0,2.0,2.0,,,10831.7577,2649.232,1,1,1.0,,0,0,8797,2,,,1.0,,,,2675.9346,7390.0,20.0,-1,,,,,,,11517.0,2016,672,669,1,0,0,0,1,12.0,1.0,36.0,2016,1.0,1,8,2,401,4011,1,16980,0,1.0,1.0,3.0,7,3,35,1.0,2,42,1,,1,2,1,2,57,57,57,1,0,0,2.0,1.0,,40.0,,40.0,,,,,,2.0,4.0,0.0,1,2.0,2.0,2.0,,865.38,2.0,2.0,2.0,,,10889.478,2772.1027,1,2,0.0,,0,0,52459,2,,,3.0,,,,2752.0191,7680.0,3910.0,-1,,,,,,,11232.0,2017,684,669,1,0,0,0,1,14.0,12.0,38.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
150941070024071,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,4.0,7,1,55,,2,37,2,,1,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,60.0,,,,,,2.0,4.0,0.0,1,2.0,,1.0,3200.0,1280.0,1.0,,,,,12348.2646,3335.7634,0,0,0.0,0.0,0,0,8714,1,,,,,,,3405.2784,7790.0,9130.0,-1,,,,,3.0,,11519.0,2016,672,669,0,0,0,0,0,11.0,22.0,39.0,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,4.0,7,1,56,,2,37,2,,1,1,5,2,57,57,57,1,0,0,1.0,1.0,,40.0,,50.0,,,,,,2.0,4.0,0.0,1,1.0,,1.0,3250.0,1785.0,2.0,2.0,,,,11487.4325,2895.372,0,0,0.0,0.0,0,0,35311,1,,,,,,,2878.2745,7790.0,9130.0,-1,,,,,3.0,,11235.0,2017,684,669,0,0,0,0,0,11.0,22.0,39.0,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,1,recruitment
150941070024071,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,4.0,7,4,19,,2,40,2,,2,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,16068.6391,4097.4092,0,0,,,0,0,8714,2,,,3.0,,,,4159.5678,,,-1,,,,,1.0,,11520.0,2016,672,669,0,0,0,0,0,14.0,,,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,4.0,7,4,20,,2,40,2,,1,3,7,2,57,57,57,1,0,0,2.0,7.0,,,,,,,,,,1.0,,,2,,,,,,,,1.0,1.0,2.0,19565.472,6260.7928,0,0,,,0,0,35311,2,,,3.0,,,,5854.3168,,,-1,,,,,1.0,,11236.0,2017,684,669,0,0,0,0,0,14.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,0,recruitment
150941070024071,1,1.0,4,4,2,401,4011,1,1,17,16980,0,1.0,1.0,4.0,7,6,76,,2,37,2,,3,1,4,4,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11513.4087,2971.5016,0,0,,,0,0,8714,3,,,,,,,2922.1864,,,-1,,,,,,,11521.0,2016,672,669,0,0,0,0,0,11.0,,,2016,1.0,4,8,2,401,4011,1,16980,0,1.0,1.0,4.0,7,6,76,,2,37,2,,1,4,4,2,57,57,57,1,0,0,2.0,5.0,,,,,,,,,,1.0,,,2,,,,,,,,,,,11183.2608,2809.9218,0,0,,,0,0,35311,3,,,,,,,2831.0096,,,-1,,,,,,,11237.0,2017,684,669,0,0,0,0,0,11.0,,,2017,MIS4_to_MIS8,illinois,1,2016-2017,0,0,0,recruitment
