term_group,term,mean_coef,mean_coef_pct_points,median_coef_pct_points,num_year_pairs,mean_nobs
age,I(age_t ** 2),-7.048893472021043e-05,-0.007048893472021043,-0.0048995520775996495,9,727.1111111111111
age,age_t,0.007046544051417972,0.7046544051417973,0.3136738677039748,9,727.1111111111111
earnings,np.log(earnwke_t),0.023728196541882938,2.3728196541882935,1.301506291513056,9,727.1111111111111
education,C(grade92_t)[T.33],-0.4504040149590891,-45.04040149590891,-45.04040149590891,2,932.0
education,C(grade92_t)[T.34],0.1524704932901433,15.247049329014331,14.694628724440697,6,691.8333333333334
education,C(grade92_t)[T.35],0.03774097932397012,3.7740979323970123,-14.179720067385471,7,782.2857142857143
education,C(grade92_t)[T.36],-0.09106793234397326,-9.106793234397324,-40.7442252343544,9,727.1111111111111
education,C(grade92_t)[T.37],-0.15354073779382138,-15.354073779382137,-27.594881065585536,9,727.1111111111111
education,C(grade92_t)[T.38],-0.20369836478440032,-20.369836478440032,-14.02476798048588,6,696.0
education,C(grade92_t)[T.39],-0.0016281523859179704,-0.16281523859179792,-24.542590899992103,9,727.1111111111111
education,C(grade92_t)[T.40],-0.008199248462609764,-0.8199248462609768,-22.22007265708377,9,727.1111111111111
education,C(grade92_t)[T.41],-0.04165002030418726,-4.165002030418725,-28.846835735511966,9,727.1111111111111
education,C(grade92_t)[T.42],-0.02743468978275549,-2.7434689782755473,-27.649090067877435,9,727.1111111111111
education,C(grade92_t)[T.43],0.001636532107745614,0.16365321077456152,-18.97615499559191,9,727.1111111111111
education,C(grade92_t)[T.44],0.025572786702996904,2.55727867029969,-19.7435422779928,9,727.1111111111111
education,C(grade92_t)[T.45],0.02475415698801299,2.4754156988012985,-12.390753363227772,9,727.1111111111111
education,C(grade92_t)[T.46],-0.02013799665054454,-2.0137996650544543,-23.803699052112997,9,727.1111111111111
ethnicity_hispanic,C(ethnic_t)[T.2.0],0.03623022889920686,3.6230228899206858,3.0666809927273566,9,727.1111111111111
ethnicity_hispanic,C(ethnic_t)[T.3.0],-0.1046202750513806,-10.46202750513806,-23.743112125771084,4,730.5
ethnicity_hispanic,C(ethnic_t)[T.4.0],0.00484396716517151,0.48439671651715227,5.495171265992475,6,824.5
ethnicity_hispanic,C(ethnic_t)[T.5.0],0.05248176976479102,5.248176976479105,35.63845124114576,4,786.75
ethnicity_hispanic,C(ethnic_t)[T.7.0],0.14049220630223536,14.049220630223534,14.049220630223534,2,548.5
ethnicity_hispanic,C(ethnic_t)[T.8.0],0.30107686592290955,30.107686592290957,30.107686592290957,2,514.5
ethnicity_hispanic,C(ethnic_t)[T.MISSING],0.02231840239797335,2.231840239797335,2.6455653670524826,9,727.1111111111111
industry,C(ind02_t)[T.280.0],0.5943850700990366,59.43850700990366,59.43850700990366,1,866.0
industry,C(ind02_t)[T.3380.0],-1.045718712637974,-104.57187126379739,-104.57187126379739,1,866.0
industry,C(ind02_t)[T.3490.0],-0.8335153078370633,-83.35153078370632,-83.35153078370632,1,754.0
industry,C(ind02_t)[T.3580.0],0.0626129287534383,6.2612928753438295,6.2612928753438295,1,930.0
industry,C(ind02_t)[T.3870.0],0.04976269696983038,4.976269696983038,4.976269696983038,1,930.0
industry,C(ind02_t)[T.3990.0],-0.20588042963675923,-20.588042963675925,-20.588042963675925,2,900.0
industry,C(ind02_t)[T.4870.0],0.5042999785692137,50.429997856921375,50.429997856921375,2,749.0
industry,C(ind02_t)[T.4990.0],-0.04981187642151034,-4.981187642151033,-17.768290713177148,5,785.0
industry,C(ind02_t)[T.5270.0],0.47111583887953756,47.111583887953756,47.111583887953756,1,803.0
industry,C(ind02_t)[T.5370.0],0.5585001254716921,55.85001254716922,73.60665103156366,3,841.3333333333334
industry,C(ind02_t)[T.5380.0],-0.5673363234608281,-56.73363234608281,-56.73363234608281,1,500.0
industry,C(ind02_t)[T.570.0],0.04736433338608643,4.736433338608643,-4.579091741270055,5,711.4
industry,C(ind02_t)[T.5790.0],-1.0966473584101486,-109.66473584101486,-109.66473584101486,1,500.0
industry,C(ind02_t)[T.580.0],-0.08598998923887424,-8.598998923887425,-8.598998923887425,2,666.0
industry,C(ind02_t)[T.590.0],0.22003335609582972,22.003335609582972,13.514476115712949,3,716.3333333333334
industry,C(ind02_t)[T.6070.0],0.15567757961457435,15.567757961457435,0.8860783835237229,4,740.0
industry,C(ind02_t)[T.6080.0],-0.5447256170500394,-54.47256170500394,-54.47256170500394,2,749.0
industry,C(ind02_t)[T.6170.0],-0.74645081034096,-74.645081034096,-74.645081034096,1,866.0
industry,C(ind02_t)[T.6180.0],-0.22803098750665082,-22.803098750665086,-17.498822101140053,9,727.1111111111111
industry,C(ind02_t)[T.6190.0],-0.22328978656967058,-22.32897865696706,-22.32897865696706,1,568.0
industry,C(ind02_t)[T.6290.0],-0.06125262069787369,-6.125262069787371,-15.315012063648211,9,727.1111111111111
industry,C(ind02_t)[T.6570.0],-0.28598829229380485,-28.598829229380485,-28.598829229380485,1,934.0
industry,C(ind02_t)[T.6670.0],-0.19835487316277978,-19.835487316277977,1.3674252602557613,3,631.6666666666666
industry,C(ind02_t)[T.670.0],-0.08956939114666515,-8.956939114666516,-21.56386730938045,9,727.1111111111111
industry,C(ind02_t)[T.6770.0],-0.09975015541847428,-9.975015541847428,-24.476695205947426,9,727.1111111111111
industry,C(ind02_t)[T.680.0],0.11311283618910092,11.31128361891009,-2.46587464531651,9,727.1111111111111
industry,C(ind02_t)[T.6870.0],-0.47438226736954897,-47.4382267369549,-40.78704336668764,4,684.25
industry,C(ind02_t)[T.6890.0],0.567084583545227,56.708458354522705,56.708458354522705,2,715.0
industry,C(ind02_t)[T.690.0],0.01964778204126849,1.9647782041268491,1.9647782041268491,1,660.0
industry,C(ind02_t)[T.6970.0],0.17395293638785392,17.39529363878539,17.39529363878539,2,514.5
industry,C(ind02_t)[T.6990.0],-0.2322266730503285,-23.22266730503285,-6.0360818266234935,4,707.5
