term,Coefficient (pp),Std. error (pp),p-value,95% CI low (pp),95% CI high (pp),Interpretation
const,3.287,2.353,0.205,-2.276,8.85,Average Illinois retention beta-hat before 2011
post,-3.224,2.956,0.3114,-10.213,3.764,Average post-2011 shift in Illinois retention beta-hat
