pair,pair_code,dv,term,term_group,coef,coef_pct_points,std_err,std_err_pct_points,p_value,ci_low,ci_high,ci_low_pct_points,ci_high_pct_points,nobs,r_squared,weight_var,controls,file
2008-2009,0809,stayed_state_local,C(ethnic_t)[T.5.0],ethnicity_hispanic,0.22528162273565489,22.52816227356549,0.16870613535358403,16.8706135353584,0.181762044369136,-0.10537632652830936,0.5559395719996192,-10.537632652830936,55.59395719996192,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(ethnic_t)[T.MISSING],ethnicity_hispanic,0.061004786273907013,6.100478627390701,0.12965335995557437,12.965335995557437,0.6379819656072299,-0.1931111297136264,0.3151207022614404,-19.31111297136264,31.51207022614404,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.33],education,-0.06866671580429218,-6.866671580429218,0.2858319415212846,28.58319415212846,0.810148409189069,-0.6288870268171689,0.49155359520858455,-62.88870268171689,49.155359520858454,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.35],education,-0.36869024183803856,-36.86902418380386,0.3693878186819997,36.938781868199975,0.3182252784422498,-1.0926770627825697,0.3552965791064926,-109.26770627825697,35.52965791064926,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.36],education,-0.29649520460269024,-29.649520460269024,0.3930910518588104,39.30910518588104,0.45068953019181157,-1.0669395088909253,0.4739490996855447,-106.69395088909252,47.39490996855447,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.37],education,-0.27750049520297193,-27.750049520297193,0.327516913848514,32.7516913848514,0.3968357292636987,-0.919421850673767,0.36442086026782317,-91.9421850673767,36.44208602678232,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.38],education,0.3510390728270645,35.103907282706444,0.3533666725789184,35.33666725789184,0.32050869231579493,-0.34154687876437306,1.043625024418502,-34.15468787643731,104.3625024418502,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.39],education,-0.1733104911703396,-17.33104911703396,0.26984009726976566,26.984009726976566,0.520697187219579,-0.7021873634038652,0.35556638106318605,-70.21873634038653,35.55663810631861,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.40],education,-0.20523950716244388,-20.52395071624439,0.27519164316450884,27.519164316450883,0.4557847718392416,-0.7446052166112793,0.33412620228639156,-74.46052166112793,33.412620228639156,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
2008-2009,0809,stayed_state_local,C(grade92_t)[T.41],education,-0.2580236691274153,-25.80236691274153,0.2891955598317577,28.91955598317577,0.3722794590843833,-0.8248365508865587,0.30878921263172815,-82.48365508865587,30.878921263172813,693,0.22212089943418367,earnwt_t,"age_t, I(age_t**2), np.log(earnwke_t), C(sex_t), C(race_t), C(ethnic_t), C(grade92_t), C(docc00_t), C(ind02_t), C(unionmme_t), C(unioncov_t)",analytic_sample_0809_retention.csv
